Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
--------    ------------------    -------------    --------------
     0.000         -2.00017409       -2.00017409        0.0000e+00
     0.015         -2.00052088       -2.00052088        0.0000e+00
     0.030         -2.00103883       -2.00103883        0.0000e+00
     0.045         -2.00172636       -2.00172636        0.0000e+00
     0.060         -2.00258175       -2.00258175        0.0000e+00
     0.075         -2.00360320       -2.00360320        0.0000e+00
     0.090         -2.00478879       -2.00478879        0.0000e+00
     0.105         -2.00613654       -2.00613654        0.0000e+00
     0.120         -2.00764436       -2.00764436        0.0000e+00
     0.135         -2.00931005       -2.00931005        0.0000e+00
     0.150         -2.01113135       -2.01113135        0.0000e+00
     0.165         -2.01310589       -2.01310589        0.0000e+00
     0.180         -2.01523121       -2.01523121        0.0000e+00
     0.195         -2.01750477       -2.01750477        0.0000e+00
     0.210         -2.01992396       -2.01992396        0.0000e+00
     0.225         -2.02248606       -2.02248606        0.0000e+00
     0.240         -2.02518828       -2.02518828        0.0000e+00
     0.255         -2.02802775       -2.02802775        0.0000e+00
     0.270         -2.03100153       -2.03100153        0.0000e+00
     0.285         -2.03410659       -2.03410659        0.0000e+00
     0.300         -2.03733983       -2.03733983        0.0000e+00
     0.315         -2.04069808       -2.04069808        0.0000e+00
     0.330         -2.04417811       -2.04417811        0.0000e+00
     0.345         -2.04777659       -2.04777659        0.0000e+00
     0.360         -2.05149017       -2.05149017        0.0000e+00
     0.375         -2.05531539       -2.05531539        0.0000e+00
     0.390         -2.05924875       -2.05924875        0.0000e+00
     0.405         -2.06328670       -2.06328670        0.0000e+00
     0.420         -2.06742561       -2.06742561        0.0000e+00
     0.435         -2.07166181       -2.07166181        0.0000e+00
     0.450         -2.07599157       -2.07599157        0.0000e+00
     0.465         -2.08041110       -2.08041110        0.0000e+00
     0.480         -2.08491658       -2.08491658        0.0000e+00
     0.495         -2.08950414       -2.08950414        0.0000e+00
     0.510         -2.09416984       -2.09416984        0.0000e+00
     0.525         -2.09890974       -2.09890974        0.0000e+00
     0.540         -2.10371982       -2.10371982        0.0000e+00
     0.555         -2.10859605       -2.10859605        0.0000e+00
     0.570         -2.11353436       -2.11353436        0.0000e+00
     0.585         -2.11853063       -2.11853063        0.0000e+00
     0.600         -2.12358073       -2.12358073        0.0000e+00
     0.615         -2.12868050       -2.12868050        0.0000e+00
     0.630         -2.13382574       -2.13382574        0.0000e+00
     0.645         -2.13901224       -2.13901224        0.0000e+00
     0.660         -2.14423577       -2.14423577        0.0000e+00
     0.675         -2.14949208       -2.14949208        0.0000e+00
     0.690         -2.15477690       -2.15477690        0.0000e+00
     0.705         -2.16008595       -2.16008595        0.0000e+00
     0.720         -2.16541494       -2.16541494        0.0000e+00
     0.735         -2.17075957       -2.17075957        0.0000e+00
     0.750         -2.17611554       -2.17611554        0.0000e+00
     0.765         -2.18147854       -2.18147854        0.0000e+00
     0.780         -2.18684426       -2.18684426        0.0000e+00
     0.795         -2.19220839       -2.19220839        0.0000e+00
     0.810         -2.19756664       -2.19756664        0.0000e+00
     0.825         -2.20291470       -2.20291470        0.0000e+00
     0.840         -2.20824829       -2.20824829        0.0000e+00
     0.855         -2.21356313       -2.21356313        0.0000e+00
     0.870         -2.21885497       -2.21885497        0.0000e+00
     0.885         -2.22411955       -2.22411955        0.0000e+00
     0.900         -2.22935265       -2.22935265        0.0000e+00
     0.915         -2.23455005       -2.23455005        0.0000e+00
     0.930         -2.23970759       -2.23970759        0.0000e+00
     0.945         -2.24482109       -2.24482109        0.0000e+00
     0.960         -2.24988643       -2.24988643        0.0000e+00
     0.975         -2.25489950       -2.25489950        0.0000e+00
     0.990         -2.25985625       -2.25985625        0.0000e+00
     1.005         -2.26475262       -2.26475262        0.0000e+00
     1.020         -2.26958464       -2.26958464        0.0000e+00
     1.035         -2.27434834       -2.27434834        0.0000e+00
     1.050         -2.27903979       -2.27903979        0.0000e+00
     1.065         -2.28365513       -2.28365513        0.0000e+00
     1.080         -2.28819053       -2.28819053        0.0000e+00
     1.095         -2.29264220       -2.29264220        0.0000e+00
     1.110         -2.29700641       -2.29700641        0.0000e+00
     1.125         -2.30127948       -2.30127948        0.0000e+00
     1.140         -2.30545778       -2.30545778        0.0000e+00
     1.155         -2.30953774       -2.30953774        0.0000e+00
     1.170         -2.31351583       -2.31351583        0.0000e+00
     1.185         -2.31738860       -2.31738860        0.0000e+00
     1.200         -2.32115266       -2.32115266        0.0000e+00
     1.215         -2.32480465       -2.32480465        0.0000e+00
     1.230         -2.32834133       -2.32834133        0.0000e+00
     1.245         -2.33175947       -2.33175947        0.0000e+00
     1.260         -2.33505594       -2.33505594        0.0000e+00
     1.275         -2.33822767       -2.33822767        0.0000e+00
     1.290         -2.34127166       -2.34127166        0.0000e+00
     1.305         -2.34418498       -2.34418498        0.0000e+00
     1.320         -2.34696478       -2.34696478        0.0000e+00
     1.335         -2.34960828       -2.34960828        0.0000e+00
     1.350         -2.35211278       -2.35211278        0.0000e+00
     1.365         -2.35447566       -2.35447566        0.0000e+00
     1.380         -2.35669436       -2.35669436        0.0000e+00
     1.395         -2.35876643       -2.35876643        0.0000e+00
     1.410         -2.36068947       -2.36068947        0.0000e+00
     1.425         -2.36246119       -2.36246119        0.0000e+00
     1.440         -2.36407938       -2.36407938        0.0000e+00
     1.455         -2.36554189       -2.36554189        0.0000e+00
     1.470         -2.36684668       -2.36684668        0.0000e+00
     1.485         -2.36799179       -2.36799179        0.0000e+00
     1.500         -2.36897536       -2.36897536        0.0000e+00
     1.515         -2.36979559       -2.36979559        0.0000e+00
     1.530         -2.37045079       -2.37045079        0.0000e+00
     1.545         -2.37093937       -2.37093937        0.0000e+00
     1.560         -2.37125980       -2.37125980        0.0000e+00
     1.575         -2.37141067       -2.37141067        0.0000e+00
     1.590         -2.37139065       -2.37139065        0.0000e+00
     1.605         -2.37119851       -2.37119851        0.0000e+00
     1.620         -2.37083310       -2.37083310        0.0000e+00
     1.635         -2.37029337       -2.37029337        0.0000e+00
     1.650         -2.36957838       -2.36957838        0.0000e+00
     1.665         -2.36868727       -2.36868727        0.0000e+00
     1.680         -2.36761927       -2.36761927        0.0000e+00
     1.695         -2.36637371       -2.36637371        0.0000e+00
     1.710         -2.36495004       -2.36495004        0.0000e+00
     1.725         -2.36334776       -2.36334776        0.0000e+00
     1.740         -2.36156651       -2.36156651        0.0000e+00
     1.755         -2.35960600       -2.35960600        0.0000e+00
     1.770         -2.35746605       -2.35746605        0.0000e+00
     1.785         -2.35514656       -2.35514656        0.0000e+00
     1.800         -2.35264755       -2.35264755        0.0000e+00
     1.815         -2.34996911       -2.34996911        0.0000e+00
     1.830         -2.34711145       -2.34711145        0.0000e+00
     1.845         -2.34407487       -2.34407487        0.0000e+00
     1.860         -2.34085975       -2.34085975        0.0000e+00
     1.875         -2.33746659       -2.33746659        0.0000e+00
     1.890         -2.33389596       -2.33389596        0.0000e+00
     1.905         -2.33014854       -2.33014854        0.0000e+00
     1.920         -2.32622512       -2.32622512        0.0000e+00
     1.935         -2.32212654       -2.32212654        0.0000e+00
     1.950         -2.31785379       -2.31785379        0.0000e+00
     1.965         -2.31340790       -2.31340790        0.0000e+00
     1.980         -2.30879002       -2.30879002        0.0000e+00
     1.995         -2.30400141       -2.30400141        0.0000e+00
     2.010         -2.29904337       -2.29904337        0.0000e+00
     2.025         -2.29391734       -2.29391734        0.0000e+00
     2.040         -2.28862483       -2.28862483        0.0000e+00
     2.055         -2.28316743       -2.28316743        0.0000e+00
     2.070         -2.27754684       -2.27754684        0.0000e+00
     2.085         -2.27176482       -2.27176482        0.0000e+00
     2.100         -2.26582325       -2.26582325        0.0000e+00
     2.115         -2.25972408       -2.25972408        0.0000e+00
     2.130         -2.25346933       -2.25346933        0.0000e+00
     2.145         -2.24706112       -2.24706112        0.0000e+00
     2.160         -2.24050165       -2.24050165        0.0000e+00
     2.175         -2.23379321       -2.23379321        0.0000e+00
     2.190         -2.22693815       -2.22693815        0.0000e+00
     2.205         -2.21993893       -2.21993893        0.0000e+00
     2.220         -2.21279805       -2.21279805        0.0000e+00
     2.235         -2.20551811       -2.20551811        0.0000e+00
     2.250         -2.19810180       -2.19810180        0.0000e+00
     2.265         -2.19055185       -2.19055185        0.0000e+00
     2.280         -2.18287109       -2.18287109        0.0000e+00
     2.295         -2.17506240       -2.17506240        0.0000e+00
     2.310         -2.16712876       -2.16712876        0.0000e+00
     2.325         -2.15907318       -2.15907318        0.0000e+00
     2.340         -2.15089878       -2.15089878        0.0000e+00
     2.355         -2.14260872       -2.14260872        0.0000e+00
     2.370         -2.13420622       -2.13420622        0.0000e+00
     2.385         -2.12569458       -2.12569458        0.0000e+00
     2.400         -2.11707716       -2.11707716        0.0000e+00
     2.415         -2.10835736       -2.10835736        0.0000e+00
     2.430         -2.09953867       -2.09953867        0.0000e+00
     2.445         -2.09062460       -2.09062460        0.0000e+00
     2.460         -2.08161875       -2.08161875        0.0000e+00
     2.475         -2.07252476       -2.07252476        0.0000e+00
     2.490         -2.06334630       -2.06334630        0.0000e+00
     2.505         -2.05408712       -2.05408712        0.0000e+00
     2.520         -2.04475101       -2.04475101        0.0000e+00
     2.535         -2.03534180       -2.03534180        0.0000e+00
     2.550         -2.02586337       -2.02586337        0.0000e+00
     2.565         -2.01631963       -2.01631963        0.0000e+00
     2.580         -2.00671456       -2.00671456        0.0000e+00
     2.595         -1.99705214       -1.99705214        0.0000e+00
     2.610         -1.98733642       -1.98733642        0.0000e+00
     2.625         -1.97757147       -1.97757147        0.0000e+00
     2.640         -1.96776140       -1.96776140        0.0000e+00
     2.655         -1.95791034       -1.95791034        0.0000e+00
     2.670         -1.94802246       -1.94802246        0.0000e+00
     2.685         -1.93810195       -1.93810195        0.0000e+00
     2.700         -1.92815303       -1.92815303        0.0000e+00
     2.715         -1.91817996       -1.91817996        0.0000e+00
     2.730         -1.90818698       -1.90818698        0.0000e+00
     2.745         -1.89817839       -1.89817839        0.0000e+00
     2.760         -1.88815848       -1.88815848        0.0000e+00
     2.775         -1.87813158       -1.87813158        0.0000e+00
     2.790         -1.86810202       -1.86810202        0.0000e+00
     2.805         -1.85807414       -1.85807414        0.0000e+00
     2.820         -1.84805228       -1.84805228        0.0000e+00
     2.835         -1.83804082       -1.83804082        0.0000e+00
     2.850         -1.82804412       -1.82804412        0.0000e+00
     2.865         -1.81806653       -1.81806653        0.0000e+00
     2.880         -1.80811244       -1.80811244        0.0000e+00
     2.895         -1.79818622       -1.79818622        0.0000e+00
     2.910         -1.78829222       -1.78829222        0.0000e+00
     2.925         -1.77843482       -1.77843482        0.0000e+00
     2.940         -1.76861836       -1.76861836        0.0000e+00
     2.955         -1.75884719       -1.75884719        0.0000e+00
     2.970         -1.74912565       -1.74912565        0.0000e+00
     2.985         -1.73945806       -1.73945806        0.0000e+00
     3.000         -1.72984873       -1.72984873        0.0000e+00
     3.015         -1.72030195       -1.72030195        0.0000e+00
     3.030         -1.71082198       -1.71082198        0.0000e+00
     3.045         -1.70141309       -1.70141309        0.0000e+00
     3.060         -1.69207949       -1.69207949        2.2204e-16
     3.075         -1.68282540       -1.68282540        2.2204e-16
     3.090         -1.67365499       -1.67365499        2.2204e-16
     3.105         -1.66457241       -1.66457241        2.2204e-16
     3.120         -1.65558177       -1.65558177        2.2204e-16
     3.135         -1.64668717       -1.64668717        2.2204e-16
     3.150         -1.63789264       -1.63789264        2.2204e-16
     3.165         -1.62920221       -1.62920221        2.2204e-16
     3.180         -1.62061985       -1.62061985        2.2204e-16
     3.195         -1.61214950       -1.61214950        2.2204e-16
     3.210         -1.60379505       -1.60379505        2.2204e-16
     3.225         -1.59556036       -1.59556036        2.2204e-16
     3.240         -1.58744923       -1.58744923        2.2204e-16
     3.255         -1.57946541       -1.57946541        2.2204e-16
     3.270         -1.57161262       -1.57161262        2.2204e-16
     3.285         -1.56389452       -1.56389452        2.2204e-16
     3.300         -1.55631471       -1.55631471        2.2204e-16
     3.315         -1.54887675       -1.54887675        2.2204e-16
     3.330         -1.54158413       -1.54158413        2.2204e-16
     3.345         -1.53444030       -1.53444030        4.4409e-16
     3.360         -1.52744863       -1.52744863        4.4409e-16
     3.375         -1.52061244       -1.52061244        4.4409e-16
     3.390         -1.51393500       -1.51393500        4.4409e-16
     3.405         -1.50741949       -1.50741949        4.4409e-16
     3.420         -1.50106906       -1.50106906        4.4409e-16
     3.435         -1.49488676       -1.49488676        4.4409e-16
     3.450         -1.48887559       -1.48887559        4.4409e-16
     3.465         -1.48303847       -1.48303847        4.4409e-16
     3.480         -1.47737827       -1.47737827        4.4409e-16
     3.495         -1.47189777       -1.47189777        4.4409e-16
     3.510         -1.46659967       -1.46659967        4.4409e-16
     3.525         -1.46148663       -1.46148663        4.4409e-16
     3.540         -1.45656119       -1.45656119        4.4409e-16
     3.555         -1.45182584       -1.45182584        4.4409e-16
     3.570         -1.44728300       -1.44728300        4.4409e-16
     3.585         -1.44293498       -1.44293498        4.4409e-16
     3.600         -1.43878403       -1.43878403        4.4409e-16
     3.615         -1.43483233       -1.43483233        4.4409e-16
     3.630         -1.43108195       -1.43108195        4.4409e-16
     3.645         -1.42753489       -1.42753489        6.6613e-16
     3.660         -1.42419308       -1.42419308        6.6613e-16
     3.675         -1.42105834       -1.42105834        6.6613e-16
     3.690         -1.41813241       -1.41813241        6.6613e-16
     3.705         -1.41541697       -1.41541697        6.6613e-16
     3.720         -1.41291357       -1.41291357        6.6613e-16
     3.735         -1.41062370       -1.41062370        6.6613e-16
     3.750         -1.40854875       -1.40854875        6.6613e-16
     3.765         -1.40669003       -1.40669003        6.6613e-16
     3.780         -1.40504876       -1.40504876        6.6613e-16
     3.795         -1.40362605       -1.40362605        6.6613e-16
     3.810         -1.40242293       -1.40242293        6.6613e-16
     3.825         -1.40144035       -1.40144035        6.6613e-16
     3.840         -1.40067915       -1.40067915        6.6613e-16
     3.855         -1.40014009       -1.40014009        6.6613e-16
     3.870         -1.39982383       -1.39982383        6.6613e-16
     3.885         -1.39973093       -1.39973093        6.6613e-16
     3.900         -1.39986187       -1.39986187        6.6613e-16
     3.915         -1.40021703       -1.40021703        6.6613e-16
     3.930         -1.40079669       -1.40079669        6.6613e-16
     3.945         -1.40160105       -1.40160105        6.6613e-16
     3.960         -1.40263020       -1.40263020        6.6613e-16
     3.975         -1.40388414       -1.40388414        6.6613e-16
     3.990         -1.40536278       -1.40536278        6.6613e-16
     4.005         -1.40706593       -1.40706593        6.6613e-16
     4.020         -1.40899331       -1.40899331        6.6613e-16
     4.035         -1.41114455       -1.41114455        6.6613e-16
     4.050         -1.41351916       -1.41351916        6.6613e-16
     4.065         -1.41611659       -1.41611659        6.6613e-16
     4.080         -1.41893618       -1.41893618        6.6613e-16
     4.095         -1.42197717       -1.42197717        6.6613e-16
     4.110         -1.42523871       -1.42523871        6.6613e-16
     4.125         -1.42871988       -1.42871988        6.6613e-16
     4.140         -1.43241962       -1.43241962        6.6613e-16
     4.155         -1.43633683       -1.43633683        6.6613e-16
     4.170         -1.44047028       -1.44047028        6.6613e-16
     4.185         -1.44481867       -1.44481867        6.6613e-16
     4.200         -1.44938060       -1.44938060        6.6613e-16
     4.215         -1.45415458       -1.45415458        6.6613e-16
     4.230         -1.45913904       -1.45913904        6.6613e-16
     4.245         -1.46433230       -1.46433230        6.6613e-16
     4.260         -1.46973262       -1.46973262        6.6613e-16
     4.275         -1.47533816       -1.47533816        6.6613e-16
     4.290         -1.48114699       -1.48114699        6.6613e-16
     4.305         -1.48715709       -1.48715709        6.6613e-16
     4.320         -1.49336637       -1.49336637        6.6613e-16
     4.335         -1.49977265       -1.49977265        6.6613e-16
     4.350         -1.50637367       -1.50637367        6.6613e-16
     4.365         -1.51316708       -1.51316708        6.6613e-16
     4.380         -1.52015046       -1.52015046        6.6613e-16
     4.395         -1.52732130       -1.52732130        6.6613e-16
     4.410         -1.53467702       -1.53467702        6.6613e-16
     4.425         -1.54221496       -1.54221496        6.6613e-16
     4.440         -1.54993239       -1.54993239        6.6613e-16
     4.455         -1.55782650       -1.55782650        6.6613e-16
     4.470         -1.56589440       -1.56589440        6.6613e-16
     4.485         -1.57413313       -1.57413313        6.6613e-16
     4.500         -1.58253968       -1.58253968        6.6613e-16
     4.515         -1.59111094       -1.59111094        6.6613e-16
     4.530         -1.59984375       -1.59984375        6.6613e-16
     4.545         -1.60873488       -1.60873488        6.6613e-16
     4.560         -1.61778104       -1.61778104        6.6613e-16
     4.575         -1.62697886       -1.62697886        6.6613e-16
     4.590         -1.63632493       -1.63632493        6.6613e-16
     4.605         -1.64581576       -1.64581576        6.6613e-16
     4.620         -1.65544781       -1.65544781        6.6613e-16
     4.635         -1.66521748       -1.66521748        6.6613e-16
     4.650         -1.67512113       -1.67512113        6.6613e-16
     4.665         -1.68515503       -1.68515503        6.6613e-16
     4.680         -1.69531544       -1.69531544        6.6613e-16
     4.695         -1.70559853       -1.70559853        6.6613e-16
     4.710         -1.71600045       -1.71600045        6.6613e-16
     4.725         -1.72651729       -1.72651729        4.4409e-16
     4.740         -1.73714509       -1.73714509        4.4409e-16
     4.755         -1.74787986       -1.74787986        4.4409e-16
     4.770         -1.75871755       -1.75871755        4.4409e-16
     4.785         -1.76965409       -1.76965409        4.4409e-16
     4.800         -1.78068536       -1.78068536        4.4409e-16
     4.815         -1.79180719       -1.79180719        4.4409e-16
     4.830         -1.80301540       -1.80301540        4.4409e-16
     4.845         -1.81430576       -1.81430576        4.4409e-16
     4.860         -1.82567402       -1.82567402        4.4409e-16
     4.875         -1.83711589       -1.83711589        4.4409e-16
     4.890         -1.84862706       -1.84862706        4.4409e-16
     4.905         -1.86020318       -1.86020318        2.2204e-16
     4.920         -1.87183990       -1.87183990        2.2204e-16
     4.935         -1.88353282       -1.88353282        2.2204e-16
     4.950         -1.89527755       -1.89527755        2.2204e-16
     4.965         -1.90706966       -1.90706966        2.2204e-16
     4.980         -1.91890470       -1.91890470        2.2204e-16
     4.995         -1.93077823       -1.93077823        2.2204e-16
     5.010         -1.94268577       -1.94268577        2.2204e-16
     5.025         -1.95462284       -1.95462284        2.2204e-16
     5.040         -1.96658497       -1.96658497        2.2204e-16
     5.055         -1.97856764       -1.97856764        2.2204e-16
     5.070         -1.99056637       -1.99056637        2.2204e-16
     5.085         -2.00257664       -2.00257664        0.0000e+00
     5.100         -2.01459395       -2.01459395        0.0000e+00
     5.115         -2.02661380       -2.02661380        0.0000e+00
     5.130         -2.03863168       -2.03863168        0.0000e+00
     5.145         -2.05064310       -2.05064310        0.0000e+00
     5.160         -2.06264355       -2.06264355        0.0000e+00
     5.175         -2.07462856       -2.07462856        0.0000e+00
     5.190         -2.08659364       -2.08659364        0.0000e+00
     5.205         -2.09853434       -2.09853434        0.0000e+00
     5.220         -2.11044619       -2.11044619        0.0000e+00
     5.235         -2.12232477       -2.12232477        0.0000e+00
     5.250         -2.13416565       -2.13416565        0.0000e+00
     5.265         -2.14596443       -2.14596443        0.0000e+00
     5.280         -2.15771672       -2.15771672        0.0000e+00
     5.295         -2.16941817       -2.16941817        0.0000e+00
     5.310         -2.18106444       -2.18106444        0.0000e+00
     5.325         -2.19265121       -2.19265121        0.0000e+00
     5.340         -2.20417420       -2.20417420        0.0000e+00
     5.355         -2.21562915       -2.21562915        0.0000e+00
     5.370         -2.22701185       -2.22701185        0.0000e+00
     5.385         -2.23831808       -2.23831808        0.0000e+00
     5.400         -2.24954369       -2.24954369        0.0000e+00
     5.415         -2.26068456       -2.26068456        0.0000e+00
     5.430         -2.27173659       -2.27173659        0.0000e+00
     5.445         -2.28269574       -2.28269574        0.0000e+00
     5.460         -2.29355798       -2.29355798        0.0000e+00
     5.475         -2.30431936       -2.30431936        0.0000e+00
     5.490         -2.31497593       -2.31497593        0.0000e+00
     5.505         -2.32552383       -2.32552383        0.0000e+00
     5.520         -2.33595920       -2.33595920        0.0000e+00
     5.535         -2.34627826       -2.34627826        0.0000e+00
     5.550         -2.35647727       -2.35647727        0.0000e+00
     5.565         -2.36655253       -2.36655253        0.0000e+00
     5.580         -2.37650040       -2.37650040        0.0000e+00
     5.595         -2.38631728       -2.38631728        0.0000e+00
     5.610         -2.39599966       -2.39599966        0.0000e+00
     5.625         -2.40554403       -2.40554403        0.0000e+00
     5.640         -2.41494699       -2.41494699        0.0000e+00
     5.655         -2.42420516       -2.42420516        0.0000e+00
     5.670         -2.43331524       -2.43331524        0.0000e+00
     5.685         -2.44227397       -2.44227397        0.0000e+00
     5.700         -2.45107817       -2.45107817        0.0000e+00
     5.715         -2.45972472       -2.45972472        0.0000e+00
     5.730         -2.46821055       -2.46821055        0.0000e+00
     5.745         -2.47653267       -2.47653267        0.0000e+00
     5.760         -2.48468814       -2.48468814        0.0000e+00
     5.775         -2.49267411       -2.49267411        0.0000e+00
     5.790         -2.50048777       -2.50048777        0.0000e+00
     5.805         -2.50812639       -2.50812639        0.0000e+00
     5.820         -2.51558732       -2.51558732        0.0000e+00
     5.835         -2.52286795       -2.52286795        0.0000e+00
     5.850         -2.52996579       -2.52996579        0.0000e+00
     5.865         -2.53687837       -2.53687837        0.0000e+00
     5.880         -2.54360332       -2.54360332        0.0000e+00
     5.895         -2.55013835       -2.55013835        0.0000e+00
     5.910         -2.55648122       -2.55648122        0.0000e+00
     5.925         -2.56262978       -2.56262978        0.0000e+00
     5.940         -2.56858196       -2.56858196        0.0000e+00
     5.955         -2.57433576       -2.57433576        0.0000e+00
     5.970         -2.57988924       -2.57988924        0.0000e+00
     5.985         -2.58524057       -2.58524057        0.0000e+00
     6.000         -2.59038798       -2.59038798        0.0000e+00
     6.015         -2.59532977       -2.59532977        0.0000e+00
     6.030         -2.60006434       -2.60006434        0.0000e+00
     6.045         -2.60459014       -2.60459014        0.0000e+00
     6.060         -2.60890573       -2.60890573        0.0000e+00
     6.075         -2.61300974       -2.61300974        0.0000e+00
     6.090         -2.61690087       -2.61690087        0.0000e+00
     6.105         -2.62057790       -2.62057790        0.0000e+00
     6.120         -2.62403972       -2.62403972        0.0000e+00
     6.135         -2.62728525       -2.62728525        0.0000e+00
     6.150         -2.63031355       -2.63031355        0.0000e+00
     6.165         -2.63312371       -2.63312371        0.0000e+00
     6.180         -2.63571493       -2.63571493        0.0000e+00
     6.195         -2.63808649       -2.63808649        0.0000e+00
     6.210         -2.64023774       -2.64023774        0.0000e+00
     6.225         -2.64216812       -2.64216812        0.0000e+00
     6.240         -2.64387715       -2.64387715        0.0000e+00
     6.255         -2.64536442       -2.64536442        0.0000e+00
     6.270         -2.64662963       -2.64662963        0.0000e+00
     6.285         -2.64767254       -2.64767254        0.0000e+00
     6.300         -2.64849298       -2.64849298        0.0000e+00
     6.315         -2.64909089       -2.64909089        0.0000e+00
     6.330         -2.64946627       -2.64946627        0.0000e+00
     6.345         -2.64961921       -2.64961921        0.0000e+00
     6.360         -2.64954987       -2.64954987        0.0000e+00
     6.375         -2.64925851       -2.64925851        0.0000e+00
     6.390         -2.64874544       -2.64874544        0.0000e+00
     6.405         -2.64801108       -2.64801108        0.0000e+00
     6.420         -2.64705590       -2.64705590        0.0000e+00
     6.435         -2.64588047       -2.64588047        0.0000e+00
     6.450         -2.64448542       -2.64448542        0.0000e+00
     6.465         -2.64287149       -2.64287149        0.0000e+00
     6.480         -2.64103945       -2.64103945        0.0000e+00
     6.495         -2.63899018       -2.63899018        0.0000e+00
     6.510         -2.63672462       -2.63672462        0.0000e+00
     6.525         -2.63424379       -2.63424379        0.0000e+00
     6.540         -2.63154879       -2.63154879        0.0000e+00
     6.555         -2.62864079       -2.62864079        0.0000e+00
     6.570         -2.62552102       -2.62552102        0.0000e+00
     6.585         -2.62219080       -2.62219080        0.0000e+00
     6.600         -2.61865151       -2.61865151        0.0000e+00
     6.615         -2.61490460       -2.61490460        0.0000e+00
     6.630         -2.61095160       -2.61095160        0.0000e+00
     6.645         -2.60679411       -2.60679411        0.0000e+00
     6.660         -2.60243377       -2.60243377        0.0000e+00
     6.675         -2.59787232       -2.59787232        0.0000e+00
     6.690         -2.59311156       -2.59311156        0.0000e+00
     6.705         -2.58815334       -2.58815334        0.0000e+00
     6.720         -2.58299958       -2.58299958        0.0000e+00
     6.735         -2.57765227       -2.57765227        0.0000e+00
     6.750         -2.57211347       -2.57211347        0.0000e+00
     6.765         -2.56638527       -2.56638527        0.0000e+00
     6.780         -2.56046985       -2.56046985        0.0000e+00
     6.795         -2.55436944       -2.55436944        0.0000e+00
     6.810         -2.54808632       -2.54808632        0.0000e+00
     6.825         -2.54162284       -2.54162284        0.0000e+00
     6.840         -2.53498140       -2.53498140        0.0000e+00
     6.855         -2.52816445       -2.52816445        0.0000e+00
     6.870         -2.52117450       -2.52117450        0.0000e+00
     6.885         -2.51401412       -2.51401412        0.0000e+00
     6.900         -2.50668590       -2.50668590        0.0000e+00
     6.915         -2.49919252       -2.49919252        0.0000e+00
     6.930         -2.49153668       -2.49153668        0.0000e+00
     6.945         -2.48372115       -2.48372115        0.0000e+00
     6.960         -2.47574871       -2.47574871        0.0000e+00
     6.975         -2.46762223       -2.46762223        0.0000e+00
     6.990         -2.45934460       -2.45934460        0.0000e+00
     7.005         -2.45091874       -2.45091874        0.0000e+00
     7.020         -2.44234765       -2.44234765        0.0000e+00
     7.035         -2.43363432       -2.43363432        0.0000e+00
     7.050         -2.42478183       -2.42478183        0.0000e+00
     7.065         -2.41579325       -2.41579325        0.0000e+00
     7.080         -2.40667172       -2.40667172        0.0000e+00
     7.095         -2.39742040       -2.39742040        0.0000e+00
     7.110         -2.38804248       -2.38804248        0.0000e+00
     7.125         -2.37854120       -2.37854120        0.0000e+00
     7.140         -2.36891980       -2.36891980        0.0000e+00
     7.155         -2.35918159       -2.35918159        0.0000e+00
     7.170         -2.34932986       -2.34932986        0.0000e+00
     7.185         -2.33936797       -2.33936797        0.0000e+00
     7.200         -2.32929928       -2.32929928        0.0000e+00
     7.215         -2.31912718       -2.31912718        0.0000e+00
     7.230         -2.30885508       -2.30885508        0.0000e+00
     7.245         -2.29848641       -2.29848641        0.0000e+00
     7.260         -2.28802464       -2.28802464        0.0000e+00
     7.275         -2.27747323       -2.27747323        0.0000e+00
     7.290         -2.26683566       -2.26683566        0.0000e+00
     7.305         -2.25611544       -2.25611544        0.0000e+00
     7.320         -2.24531609       -2.24531609        0.0000e+00
     7.335         -2.23444114       -2.23444114        0.0000e+00
     7.350         -2.22349412       -2.22349412        0.0000e+00
     7.365         -2.21247859       -2.21247859        0.0000e+00
     7.380         -2.20139811       -2.20139811        0.0000e+00
     7.395         -2.19025624       -2.19025624        0.0000e+00
     7.410         -2.17905656       -2.17905656        0.0000e+00
     7.425         -2.16780264       -2.16780264        0.0000e+00
     7.440         -2.15649806       -2.15649806        0.0000e+00
     7.455         -2.14514640       -2.14514640        0.0000e+00
     7.470         -2.13375124       -2.13375124        0.0000e+00
     7.485         -2.12231617       -2.12231617        0.0000e+00
     7.500         -2.11084475       -2.11084475        0.0000e+00
     7.515         -2.09934056       -2.09934056        0.0000e+00
     7.530         -2.08780718       -2.08780718        0.0000e+00
     7.545         -2.07624816       -2.07624816        0.0000e+00
     7.560         -2.06466705       -2.06466705        0.0000e+00
     7.575         -2.05306741       -2.05306741        0.0000e+00
     7.590         -2.04145276       -2.04145276        0.0000e+00
     7.605         -2.02982663       -2.02982663        0.0000e+00
     7.620         -2.01819253       -2.01819253        0.0000e+00
     7.635         -2.00655396       -2.00655396        0.0000e+00
     7.650         -1.99491440       -1.99491440        0.0000e+00
     7.665         -1.98327731       -1.98327731        0.0000e+00
     7.680         -1.97164614       -1.97164614        0.0000e+00
     7.695         -1.96002431       -1.96002431        0.0000e+00
     7.710         -1.94841524       -1.94841524        0.0000e+00
     7.725         -1.93682231       -1.93682231        0.0000e+00
