step,time,k_before,k_after
223,2.23,-68900.2,-68900.2
224,2.24,-67282.4,-67282.4
225,2.25,-65641.9,-65641.9
226,2.26,-63980.2,-63980.2
227,2.27,-62298.8,-62298.8
228,2.28,-60599.3,-60599.3
229,2.29,-58883.4,-58883.4
230,2.3,-57152.9,-57152.9
231,2.31,-55409.5,-55409.5
232,2.32,-53655.1,-53655.1
233,2.33,-51891.4,-51891.4
234,2.34,-50120.4,-50120.4
235,2.35,-48344,-48344
236,2.36,-46564.1,-46564.1
237,2.37,-44782.6,-44782.6
238,2.38,-43001.6,-43001.6
239,2.39,-41223,-41223
240,2.4,-39448.7,-39448.7
241,2.41,-37680.8,-37680.8
242,2.42,-35921.1,-35921.1
243,2.43,-34171.6,-34171.6
244,2.44,-32434.3,-32434.3
245,2.45,-30711,-30711
246,2.46,-29003.5,-29003.5
247,2.47,-27313.8,-27313.8
248,2.48,-25643.7,-25643.7
249,2.49,-23994.8,-23994.8
250,2.5,-22368.9,-22368.9
251,2.51,-20767.7,-20767.7
252,2.52,-19192.7,-19192.7
253,2.53,-17645.5,-17645.5
254,2.54,-16127.7,-16127.7
255,2.55,-14640.5,-14640.5
256,2.56,-13185.4,-13185.4
257,2.57,-11763.6,-11763.6
258,2.58,-10376.4,-10376.4
259,2.59,-9024.84,-9024.85
260,2.6,-7710.02,-7710.03
261,2.61,-6432.9,-6432.91
262,2.62,-5194.36,-5194.36
263,2.63,-3995.19,-3995.2
264,2.64,-2836.12,-2836.13
265,2.65,-1717.77,-1717.77
266,2.66,-640.668,-640.675
267,2.67,394.729,394.721
268,2.68,1388.07,1388.06
269,2.69,2339.08,2339.07
270,2.7,3247.6,3247.59
271,2.71,4113.53,4113.52
272,2.72,4936.88,4936.87
273,2.73,5717.74,5717.74
274,2.74,6456.31,6456.3
275,2.75,7152.84,7152.83
276,2.76,7807.7,7807.69
277,2.77,8421.33,8421.32
278,2.78,8994.25,8994.24
279,2.79,9527.07,9527.06
280,2.8,10020.5,10020.5
281,2.81,10475.2,10475.2
282,2.82,10892.1,10892.1
283,2.83,11272.2,11272.2
284,2.84,11616.2,11616.2
285,2.85,11925.4,11925.4
286,2.86,12200.8,12200.8
287,2.87,12443.6,12443.6
288,2.88,12654.9,12654.9
289,2.89,12836.1,12836.1
290,2.9,12988.5,12988.5
291,2.91,13113.4,13113.4
292,2.92,13212.3,13212.3
293,2.93,13286.6,13286.6
294,2.94,13337.7,13337.7
295,2.95,13367.2,13367.2
296,2.96,13376.7,13376.7
297,2.97,13367.5,13367.5
298,2.98,13341.4,13341.4
299,2.99,13299.9,13299.9
300,3,13244.6,13244.6
301,3.01,13177,13177
302,3.02,13098.8,13098.8
303,3.03,13011.6,13011.6
304,3.04,12916.8,12916.8
305,3.05,12816.2,12816.2
306,3.06,12711.3,12711.3
307,3.07,12603.5,12603.5
308,3.08,12494.4,12494.4
309,3.09,12385.4,12385.4
310,3.1,12278.1,12278.1
311,3.11,12173.7,12173.7
312,3.12,12073.8,12073.8
313,3.13,11979.6,11979.6
314,3.14,11892.4,11892.4
315,3.15,11813.4,11813.4
316,3.16,11743.9,11743.9
317,3.17,11685,11685
318,3.18,11637.6,11637.6
319,3.19,11603,11603
320,3.2,11582,11582
321,3.21,11575.5,11575.5
322,3.22,11584.3,11584.3
323,3.23,11609.3,11609.3
324,3.24,11651.1,11651.1
325,3.25,11710.3,11710.3
326,3.26,11787.6,11787.6
327,3.27,11883.3,11883.3
328,3.28,11998,11998
329,3.29,12131.9,12131.9
330,3.3,12285.3,12285.3
331,3.31,12458.4,12458.4
332,3.32,12651.4,12651.5
333,3.33,12864.4,12864.4
334,3.34,13097.2,13097.2
335,3.35,13349.8,13349.8
336,3.36,13622,13622
337,3.37,13913.6,13913.6
338,3.38,14224.4,14224.4
339,3.39,14553.9,14553.9
340,3.4,14901.7,14901.7
341,3.41,15267.4,15267.4
342,3.42,15650.3,15650.3
343,3.43,16049.8,16049.8
344,3.44,16465.4,16465.4
345,3.45,16896.2,16896.2
346,3.46,17341.5,17341.5
347,3.47,17800.4,17800.4
348,3.48,18272,18272
349,3.49,18755.5,18755.5
350,3.5,19249.9,19249.9
351,3.51,19754.1,19754.2
352,3.52,20267.2,20267.2
353,3.53,20788,20788
354,3.54,21315.5,21315.5
355,3.55,21848.5,21848.5
356,3.56,22385.8,22385.8
357,3.57,22926.3,22926.3
358,3.58,23468.9,23468.9
359,3.59,24012.2,24012.2
360,3.6,24555.2,24555.2
361,3.61,25096.5,25096.5
362,3.62,25635,25635
363,3.63,26169.4,26169.4
364,3.64,26698.5,26698.5
365,3.65,27221.2,27221.2
366,3.66,27736.2,27736.2
367,3.67,28242.4,28242.4
368,3.68,28738.6,28738.6
369,3.69,29223.6,29223.6
370,3.7,29696.4,29696.4
371,3.71,30155.8,30155.8
372,3.72,30600.8,30600.8
373,3.73,31030.3,31030.3
374,3.74,31443.5,31443.5
375,3.75,31839.3,31839.3
376,3.76,32216.7,32216.7
377,3.77,32575.1,32575.1
378,3.78,32913.4,32913.4
379,3.79,33231,33231
380,3.8,33527.2,33527.2
381,3.81,33801.2,33801.1
382,3.82,34052.4,34052.4
383,3.83,34280.2,34280.2
384,3.84,34484.3,34484.3
385,3.85,34664,34664
386,3.86,34819,34819
387,3.87,34949,34949
388,3.88,35053.7,35053.7
389,3.89,35132.8,35132.8
390,3.9,35186.3,35186.3
391,3.91,35214,35214
392,3.92,35215.9,35215.9
393,3.93,35192,35192
394,3.94,35142.4,35142.4
395,3.95,35067.3,35067.3
396,3.96,34966.9,34966.9
397,3.97,34841.4,34841.4
398,3.98,34691.1,34691.1
399,3.99,34516.5,34516.5
400,4,34318,34318
401,4.01,34096.1,34096.1
402,4.02,33851.3,33851.3
403,4.03,33584.3,33584.3
404,4.04,33295.6,33295.6
405,4.05,32986,32986
406,4.06,32656.2,32656.2
407,4.07,32307.1,32307.1
408,4.08,31939.4,31939.4
409,4.09,31554,31554
410,4.1,31151.8,31151.8
411,4.11,30733.7,30733.7
412,4.12,30300.8,30300.8
413,4.13,29854.1,29854.1
414,4.14,29394.4,29394.4
415,4.15,28923,28923
416,4.16,28440.9,28440.9
417,4.17,27949.1,27949.1
418,4.18,27448.9,27448.9
419,4.19,26941.2,26941.2
420,4.2,26427.2,26427.2
421,4.21,25908.1,25908.1
