step,time,k_before,k_after
0,0,54152.7,54152.7
1,0.01,54144.4,54144.4
2,0.02,54119.6,54119.6
3,0.03,54078.1,54078.1
4,0.04,54020.1,54020.1
5,0.05,53945.5,53945.5
6,0.06,53854.5,53854.5
7,0.07,53747.1,53747.1
8,0.08,53623.3,53623.3
9,0.09,53483.3,53483.3
10,0.1,53327.1,53327.1
11,0.11,53154.7,53154.7
12,0.12,52966.4,52966.4
13,0.13,52762.2,52762.2
14,0.14,52542.3,52542.3
15,0.15,52306.7,52306.7
16,0.16,52055.7,52055.7
17,0.17,51789.3,51789.3
18,0.18,51507.8,51507.8
19,0.19,51211.2,51211.2
20,0.2,50899.8,50899.8
21,0.21,50573.8,50573.8
22,0.22,50233.4,50233.4
23,0.23,49878.6,49878.6
24,0.24,49509.9,49509.9
25,0.25,49127.3,49127.3
26,0.26,48731.1,48731.1
27,0.27,48321.5,48321.5
28,0.28,47898.8,47898.8
29,0.29,47463.2,47463.2
30,0.3,47014.9,47014.9
31,0.31,46554.3,46554.3
32,0.32,46081.5,46081.5
33,0.33,45596.8,45596.8
34,0.34,45100.5,45100.5
35,0.35,44592.9,44592.9
36,0.36,44074.2,44074.2
37,0.37,43544.8,43544.8
38,0.38,43004.9,43004.9
39,0.39,42454.7,42454.7
40,0.4,41894.7,41894.7
41,0.41,41325.1,41325.1
42,0.42,40746.2,40746.2
43,0.43,40158.3,40158.3
44,0.44,39561.7,39561.7
45,0.45,38956.7,38956.7
46,0.46,38343.6,38343.6
47,0.47,37722.8,37722.8
48,0.48,37094.5,37094.5
49,0.49,36459,36459
50,0.5,35816.7,35816.7
51,0.51,35167.9,35167.9
52,0.52,34512.9,34512.9
53,0.53,33852,33852
54,0.54,33185.4,33185.4
55,0.55,32513.7,32513.7
56,0.56,31836.9,31836.9
57,0.57,31155.5,31155.5
58,0.58,30469.7,30469.7
59,0.59,29779.9,29779.9
60,0.6,29086.3,29086.3
61,0.61,28389.3,28389.3
62,0.62,27689.1,27689.1
63,0.63,26986.1,26986.1
64,0.64,26280.5,26280.5
65,0.65,25572.6,25572.6
66,0.66,24862.8,24862.8
67,0.67,24151.3,24151.3
68,0.68,23438.3,23438.3
69,0.69,22724.2,22724.2
70,0.7,22009.2,22009.2
71,0.71,21293.6,21293.6
72,0.72,20577.7,20577.7
73,0.73,19861.7,19861.7
74,0.74,19145.8,19145.8
75,0.75,18430.4,18430.4
76,0.76,17715.6,17715.6
77,0.77,17001.8,17001.8
78,0.78,16289.1,16289.1
79,0.79,15577.8,15577.8
80,0.8,14868,14868
81,0.81,14160.1,14160.1
82,0.82,13454.2,13454.2
83,0.83,12750.6,12750.6
84,0.84,12049.4,12049.4
85,0.85,11350.9,11350.9
86,0.86,10655.2,10655.2
87,0.87,9962.62,9962.62
88,0.88,9273.21,9273.21
89,0.89,8587.21,8587.21
90,0.9,7904.78,7904.78
91,0.91,7226.1,7226.1
92,0.92,6551.33,6551.33
93,0.93,5880.63,5880.63
94,0.94,5214.15,5214.15
95,0.95,4552.04,4552.04
96,0.96,3894.44,3894.44
97,0.97,3241.5,3241.5
98,0.98,2593.33,2593.33
99,0.99,1950.08,1950.08
100,1,1311.86,1311.86
101,1.01,678.798,678.798
102,1.02,51.0015,51.0018
103,1.03,-571.418,-571.418
104,1.04,-1188.36,-1188.36
105,1.05,-1799.71,-1799.71
106,1.06,-2405.39,-2405.39
107,1.07,-3005.3,-3005.3
108,1.08,-3599.35,-3599.35
109,1.09,-4187.47,-4187.47
110,1.1,-4769.56,-4769.56
111,1.11,-5345.56,-5345.55
112,1.12,-5915.38,-5915.38
113,1.13,-6478.98,-6478.98
114,1.14,-7036.27,-7036.27
115,1.15,-7587.2,-7587.2
116,1.16,-8131.71,-8131.71
117,1.17,-8669.75,-8669.75
118,1.18,-9201.26,-9201.26
119,1.19,-9726.2,-9726.2
120,1.2,-10244.5,-10244.5
121,1.21,-10756.2,-10756.2
122,1.22,-11261.1,-11261.1
123,1.23,-11759.3,-11759.3
124,1.24,-12250.7,-12250.7
125,1.25,-12735.4,-12735.4
126,1.26,-13213.1,-13213.1
127,1.27,-13684,-13684
128,1.28,-14148,-14148
129,1.29,-14605.1,-14605.1
130,1.3,-15055.3,-15055.3
131,1.31,-15498.5,-15498.5
132,1.32,-15934.7,-15934.7
133,1.33,-16363.9,-16363.9
134,1.34,-16786,-16786
135,1.35,-17201.2,-17201.2
136,1.36,-17609.3,-17609.3
137,1.37,-18010.3,-18010.3
138,1.38,-18404.3,-18404.3
139,1.39,-18791.2,-18791.2
140,1.4,-19171.1,-19171.1
141,1.41,-19543.8,-19543.8
142,1.42,-19909.5,-19909.5
143,1.43,-20268,-20268
144,1.44,-20619.5,-20619.5
145,1.45,-20963.8,-20963.8
146,1.46,-21301,-21301
147,1.47,-21631.2,-21631.2
148,1.48,-21954.2,-21954.2
149,1.49,-22270.1,-22270.1
150,1.5,-22578.9,-22578.9
151,1.51,-22880.6,-22880.6
152,1.52,-23175.2,-23175.2
153,1.53,-23462.8,-23462.8
154,1.54,-23743.2,-23743.2
155,1.55,-24016.5,-24016.5
156,1.56,-24282.8,-24282.8
157,1.57,-24542,-24542
158,1.58,-24794.1,-24794.1
159,1.59,-25039.2,-25039.2
160,1.6,-25277.2,-25277.2
161,1.61,-25508.2,-25508.2
162,1.62,-25732.2,-25732.2
163,1.63,-25949.2,-25949.2
164,1.64,-26159.2,-26159.2
165,1.65,-26362.2,-26362.2
166,1.66,-26558.2,-26558.2
167,1.67,-26747.3,-26747.3
168,1.68,-26929.5,-26929.5
169,1.69,-27104.7,-27104.7
170,1.7,-27273,-27273
171,1.71,-27434.5,-27434.5
172,1.72,-27589.1,-27589.1
173,1.73,-27736.9,-27736.9
174,1.74,-27877.9,-27877.9
175,1.75,-28012.1,-28012.1
176,1.76,-28139.6,-28139.6
177,1.77,-28260.3,-28260.3
178,1.78,-28374.3,-28374.3
179,1.79,-28481.7,-28481.7
180,1.8,-28582.4,-28582.4
181,1.81,-28676.5,-28676.5
182,1.82,-28764.1,-28764.1
183,1.83,-28845.1,-28845.1
184,1.84,-28919.6,-28919.6
185,1.85,-28987.7,-28987.7
186,1.86,-29049.3,-29049.3
187,1.87,-29104.6,-29104.6
188,1.88,-29153.6,-29153.6
189,1.89,-29196.3,-29196.3
190,1.9,-29232.7,-29232.7
191,1.91,-29262.9,-29262.9
192,1.92,-29287.1,-29287.1
193,1.93,-29305.1,-29305.1
194,1.94,-29317.1,-29317.1
195,1.95,-29323.1,-29323.1
196,1.96,-29323.2,-29323.2
197,1.97,-29317.4,-29317.4
198,1.98,-29305.9,-29305.9
199,1.99,-29288.6,-29288.6
200,2,-29265.6,-29265.6
201,2.01,-29237,-29237
202,2.02,-29202.8,-29202.8
203,2.03,-29163.2,-29163.2
204,2.04,-29118.2,-29118.2
205,2.05,-29067.8,-29067.8
206,2.06,-29012.2,-29012.2
207,2.07,-28951.4,-28951.4
208,2.08,-28885.4,-28885.4
209,2.09,-28814.5,-28814.5
210,2.1,-28738.5,-28738.5
211,2.11,-28657.7,-28657.7
212,2.12,-28572.1,-28572.1
213,2.13,-28481.7,-28481.7
214,2.14,-28386.8,-28386.8
215,2.15,-28287.2,-28287.2
216,2.16,-28183.2,-28183.2
217,2.17,-28074.9,-28074.9
218,2.18,-27962.2,-27962.2
219,2.19,-27845.3,-27845.3
220,2.2,-27724.3,-27724.3
221,2.21,-27599.2,-27599.2
222,2.22,-27470.3,-27470.3
223,2.23,-27337.4,-27337.4
224,2.24,-27200.8,-27200.8
225,2.25,-27060.6,-27060.6
226,2.26,-26916.7,-26916.7
227,2.27,-26769.4,-26769.4
228,2.28,-26618.7,-26618.7
229,2.29,-26464.7,-26464.7
230,2.3,-26307.4,-26307.4
231,2.31,-26147.1,-26147.1
232,2.32,-25983.7,-25983.7
233,2.33,-25817.4,-25817.4
234,2.34,-25648.2,-25648.2
235,2.35,-25476.3,-25476.3
236,2.36,-25301.8,-25301.8
237,2.37,-25124.6,-25124.6
238,2.38,-24945,-24945
239,2.39,-24763,-24763
240,2.4,-24578.7,-24578.7
241,2.41,-24392.2,-24392.2
242,2.42,-24203.6,-24203.6
243,2.43,-24012.9,-24012.9
244,2.44,-23820.2,-23820.2
245,2.45,-23625.7,-23625.7
246,2.46,-23429.4,-23429.4
247,2.47,-23231.4,-23231.4
248,2.48,-23031.8,-23031.8
249,2.49,-22830.6,-22830.6
250,2.5,-22627.9,-22627.9
251,2.51,-22423.9,-22423.9
252,2.52,-22218.5,-22218.5
253,2.53,-22011.9,-22011.9
254,2.54,-21804.2,-21804.2
255,2.55,-21595.3,-21595.3
256,2.56,-21385.4,-21385.4
257,2.57,-21174.6,-21174.6
258,2.58,-20962.8,-20962.8
259,2.59,-20750.2,-20750.2
260,2.6,-20536.9,-20536.9
261,2.61,-20322.9,-20322.9
262,2.62,-20108.2,-20108.2
263,2.63,-19892.9,-19892.9
264,2.64,-19677.1,-19677.1
265,2.65,-19460.8,-19460.8
266,2.66,-19244.1,-19244.1
267,2.67,-19027,-19027
268,2.68,-18809.6,-18809.6
269,2.69,-18591.9,-18591.9
270,2.7,-18374,-18374
271,2.71,-18155.9,-18155.9
272,2.72,-17937.6,-17937.6
273,2.73,-17719.3,-17719.3
274,2.74,-17500.8,-17500.8
275,2.75,-17282.4,-17282.4
276,2.76,-17064,-17064
277,2.77,-16845.6,-16845.6
278,2.78,-16627.2,-16627.2
279,2.79,-16409,-16409
280,2.8,-16190.9,-16190.9
281,2.81,-15973,-15973
282,2.82,-15755.3,-15755.3
283,2.83,-15537.8,-15537.8
284,2.84,-15320.5,-15320.5
285,2.85,-15103.5,-15103.5
286,2.86,-14886.8,-14886.8
287,2.87,-14670.4,-14670.4
288,2.88,-14454.3,-14454.3
289,2.89,-14238.5,-14238.5
290,2.9,-14023.1,-14023.1
291,2.91,-13808.1,-13808.1
292,2.92,-13593.5,-13593.5
293,2.93,-13379.3,-13379.3
294,2.94,-13165.5,-13165.5
295,2.95,-12952.1,-12952.1
296,2.96,-12739.2,-12739.2
297,2.97,-12526.7,-12526.7
298,2.98,-12314.7,-12314.7
299,2.99,-12103.2,-12103.2
300,3,-11892.2,-11892.2
301,3.01,-11681.6,-11681.6
302,3.02,-11471.6,-11471.6
303,3.03,-11262.1,-11262.1
304,3.04,-11053.1,-11053.1
305,3.05,-10844.6,-10844.6
306,3.06,-10636.7,-10636.7
307,3.07,-10429.3,-10429.3
308,3.08,-10222.5,-10222.5
309,3.09,-10016.2,-10016.2
310,3.1,-9810.54,-9810.54
311,3.11,-9605.44,-9605.44
312,3.12,-9400.92,-9400.92
313,3.13,-9197.01,-9197.01
314,3.14,-8993.71,-8993.71
315,3.15,-8791.02,-8791.02
316,3.16,-8588.96,-8588.96
317,3.17,-8387.54,-8387.54
318,3.18,-8186.76,-8186.76
319,3.19,-7986.64,-7986.64
320,3.2,-7787.18,-7787.18
321,3.21,-7588.41,-7588.41
322,3.22,-7390.32,-7390.32
323,3.23,-7192.94,-7192.94
324,3.24,-6996.28,-6996.28
325,3.25,-6800.34,-6800.34
326,3.26,-6605.15,-6605.15
327,3.27,-6410.71,-6410.71
328,3.28,-6217.05,-6217.05
329,3.29,-6024.17,-6024.17
330,3.3,-5832.1,-5832.1
331,3.31,-5640.85,-5640.85
332,3.32,-5450.43,-5450.43
333,3.33,-5260.87,-5260.87
334,3.34,-5072.18,-5072.18
335,3.35,-4884.38,-4884.38
336,3.36,-4697.49,-4697.49
337,3.37,-4511.54,-4511.54
338,3.38,-4326.53,-4326.53
339,3.39,-4142.49,-4142.49
340,3.4,-3959.44,-3959.44
341,3.41,-3777.4,-3777.4
342,3.42,-3596.39,-3596.39
343,3.43,-3416.44,-3416.44
344,3.44,-3237.57,-3237.57
345,3.45,-3059.8,-3059.8
346,3.46,-2883.15,-2883.15
347,3.47,-2707.64,-2707.64
348,3.48,-2533.3,-2533.3
349,3.49,-2360.16,-2360.16
350,3.5,-2188.23,-2188.23
351,3.51,-2017.53,-2017.53
352,3.52,-1848.1,-1848.1
353,3.53,-1679.96,-1679.96
354,3.54,-1513.12,-1513.12
355,3.55,-1347.61,-1347.61
356,3.56,-1183.46,-1183.46
357,3.57,-1020.69,-1020.69
358,3.58,-859.317,-859.317
359,3.59,-699.367,-699.367
360,3.6,-540.862,-540.863
361,3.61,-383.825,-383.825
362,3.62,-228.276,-228.276
363,3.63,-74.2367,-74.2368
364,3.64,78.2726,78.2725
365,3.65,229.232,229.232
366,3.66,378.621,378.621
367,3.67,526.422,526.422
368,3.68,672.616,672.616
369,3.69,817.185,817.185
370,3.7,960.113,960.112
371,3.71,1101.38,1101.38
372,3.72,1240.98,1240.98
373,3.73,1378.89,1378.89
374,3.74,1515.09,1515.09
375,3.75,1649.58,1649.58
376,3.76,1782.35,1782.35
377,3.77,1913.37,1913.37
378,3.78,2042.64,2042.64
379,3.79,2170.16,2170.16
380,3.8,2295.91,2295.91
381,3.81,2419.88,2419.88
382,3.82,2542.07,2542.07
383,3.83,2662.48,2662.48
384,3.84,2781.09,2781.09
385,3.85,2897.9,2897.9
386,3.86,3012.92,3012.92
387,3.87,3126.14,3126.14
388,3.88,3237.55,3237.55
389,3.89,3347.17,3347.17
390,3.9,3454.98,3454.98
391,3.91,3561,3561
392,3.92,3665.23,3665.23
393,3.93,3767.66,3767.66
394,3.94,3868.31,3868.31
395,3.95,3967.19,3967.19
396,3.96,4064.29,4064.29
397,3.97,4159.63,4159.63
398,3.98,4253.22,4253.22
399,3.99,4345.06,4345.06
400,4,4435.18,4435.18
401,4.01,4523.57,4523.57
402,4.02,4610.25,4610.25
403,4.03,4695.23,4695.23
404,4.04,4778.54,4778.54
405,4.05,4860.18,4860.18
406,4.06,4940.16,4940.16
407,4.07,5018.51,5018.51
408,4.08,5095.25,5095.25
409,4.09,5170.38,5170.38
410,4.1,5243.92,5243.92
411,4.11,5315.9,5315.9
412,4.12,5386.34,5386.34
413,4.13,5455.24,5455.24
414,4.14,5522.64,5522.64
415,4.15,5588.55,5588.55
416,4.16,5652.99,5652.99
417,4.17,5715.98,5715.98
418,4.18,5777.55,5777.55
419,4.19,5837.71,5837.71
420,4.2,5896.49,5896.49
421,4.21,5953.9,5953.9
422,4.22,6009.97,6009.97
423,4.23,6064.71,6064.71
424,4.24,6118.16,6118.16
425,4.25,6170.33,6170.33
426,4.26,6221.24,6221.24
427,4.27,6270.91,6270.91
428,4.28,6319.36,6319.36
429,4.29,6366.62,6366.62
430,4.3,6412.71,6412.71
431,4.31,6457.63,6457.63
432,4.32,6501.42,6501.42
433,4.33,6544.09,6544.09
434,4.34,6585.67,6585.67
435,4.35,6626.16,6626.16
436,4.36,6665.59,6665.59
437,4.37,6703.98,6703.98
438,4.38,6741.34,6741.34
439,4.39,6777.68,6777.68
440,4.4,6813.04,6813.04
441,4.41,6847.41,6847.41
442,4.42,6880.81,6880.81
443,4.43,6913.27,6913.27
444,4.44,6944.79,6944.79
445,4.45,6975.38,6975.38
446,4.46,7005.07,7005.07
447,4.47,7033.85,7033.85
448,4.48,7061.74,7061.74
449,4.49,7088.75,7088.75
450,4.5,7114.9,7114.9
451,4.51,7140.18,7140.18
452,4.52,7164.61,7164.61
453,4.53,7188.2,7188.2
454,4.54,7210.95,7210.95
455,4.55,7232.87,7232.87
456,4.56,7253.96,7253.96
457,4.57,7274.24,7274.24
458,4.58,7293.69,7293.69
459,4.59,7312.34,7312.34
460,4.6,7330.18,7330.18
461,4.61,7347.21,7347.21
462,4.62,7363.44,7363.44
463,4.63,7378.86,7378.86
464,4.64,7393.49,7393.49
465,4.65,7407.31,7407.31
466,4.66,7420.33,7420.33
467,4.67,7432.56,7432.56
468,4.68,7443.98,7443.98
469,4.69,7454.59,7454.59
470,4.7,7464.41,7464.41
471,4.71,7473.41,7473.41
472,4.72,7481.61,7481.61
473,4.73,7489,7489
474,4.74,7495.57,7495.57
475,4.75,7501.33,7501.33
476,4.76,7506.27,7506.27
477,4.77,7510.38,7510.38
478,4.78,7513.67,7513.67
479,4.79,7516.13,7516.13
480,4.8,7517.75,7517.75
481,4.81,7518.54,7518.54
482,4.82,7518.49,7518.49
483,4.83,7517.59,7517.59
484,4.84,7515.85,7515.85
485,4.85,7513.25,7513.25
