Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
3.405             0.005419        0.310471
3.420             0.005382        0.308354
3.435             0.005346        0.306314
3.450             0.005312        0.304354
3.465             0.005279        0.302473
3.480             0.005248        0.300674
3.495             0.005218        0.298956
3.510             0.005189        0.297321
3.525             0.005162        0.295768
3.540             0.005136        0.294299
3.555             0.005112        0.292914
3.570             0.005090        0.291611
3.585             0.005068        0.290392
3.600             0.005048        0.289255
3.615             0.005030        0.288200
3.630             0.005013        0.287225
3.645             0.004997        0.286330
3.660             0.004983        0.285513
3.675             0.004970        0.284773
3.690             0.004959        0.284108
3.705             0.004948        0.283516
3.720             0.004939        0.282995
3.735             0.004931        0.282542
3.750             0.004925        0.282155
3.765             0.004919        0.281831
3.780             0.004914        0.281567
3.795             0.004911        0.281360
3.810             0.004908        0.281206
3.825             0.004906        0.281101
3.840             0.004905        0.281043
3.855             0.004905        0.281027
3.870             0.004905        0.281048
3.885             0.004906        0.281103
3.900             0.004908        0.281187
3.915             0.004910        0.281296
3.930             0.004912        0.281424
3.945             0.004914        0.281567
3.960             0.004917        0.281720
3.975             0.004920        0.281877
3.990             0.004922        0.282033
4.005             0.004925        0.282183
4.020             0.004927        0.282321
4.035             0.004930        0.282442
4.050             0.004931        0.282540
4.065             0.004932        0.282610
4.080             0.004933        0.282645
4.095             0.004933        0.282639
4.110             0.004932        0.282588
4.125             0.004930        0.282484
4.140             0.004927        0.282322
4.155             0.004924        0.282097
4.170             0.004918        0.281801
4.185             0.004912        0.281431
4.200             0.004904        0.280978
4.215             0.004895        0.280439
4.230             0.004884        0.279807
4.245             0.004871        0.279076
4.260             0.004856        0.278241
4.275             0.004840        0.277296
4.290             0.004821        0.276236
4.305             0.004801        0.275056
4.320             0.004778        0.273751
4.335             0.004753        0.272315
4.350             0.004725        0.270743
4.365             0.004695        0.269032
4.380             0.004663        0.267176
4.395             0.004628        0.265170
4.410             0.004590        0.263012
4.425             0.004550        0.260695
4.440             0.004507        0.258218
4.455             0.004461        0.255575
4.470             0.004412        0.252764
4.485             0.004359        0.249781
4.500             0.004304        0.246623
4.515             0.004246        0.243287
4.530             0.004185        0.239770
4.545             0.004120        0.236071
4.560             0.004052        0.232186
4.575             0.003981        0.228114
4.590             0.003907        0.223853
