Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
6.54               -0.0901         -5.1635
6.57               -0.0914         -5.2344
6.60               -0.0926         -5.3048
6.63               -0.0938         -5.3747
6.66               -0.0950         -5.4440
6.69               -0.0962         -5.5128
6.72               -0.0974         -5.5810
6.75               -0.0986         -5.6487
6.78               -0.0998         -5.7158
6.81               -0.1009         -5.7824
6.84               -0.1021         -5.8484
6.87               -0.1032         -5.9138
6.90               -0.1043         -5.9786
6.93               -0.1055         -6.0428
6.96               -0.1066         -6.1065
6.99               -0.1077         -6.1695
7.02               -0.1088         -6.2319
7.05               -0.1098         -6.2938
7.08               -0.1109         -6.3550
7.11               -0.1120         -6.4156
7.14               -0.1130         -6.4755
7.17               -0.1141         -6.5349
7.20               -0.1151         -6.5935
7.23               -0.1161         -6.6516
7.26               -0.1171         -6.7090
7.29               -0.1181         -6.7658
7.32               -0.1191         -6.8219
7.35               -0.1200         -6.8773
7.38               -0.1210         -6.9321
7.41               -0.1219         -6.9862
7.44               -0.1229         -7.0396
7.47               -0.1238         -7.0923
7.50               -0.1247         -7.1444
7.53               -0.1256         -7.1957
7.56               -0.1265         -7.2464
7.59               -0.1273         -7.2963
7.62               -0.1282         -7.3456
7.65               -0.1291         -7.3941
7.68               -0.1299         -7.4419
7.71               -0.1307         -7.4890
7.74               -0.1315         -7.5353
7.77               -0.1323         -7.5809
7.80               -0.1331         -7.6258
7.83               -0.1339         -7.6699
7.86               -0.1346         -7.7133
7.89               -0.1354         -7.7559
7.92               -0.1361         -7.7978
7.95               -0.1368         -7.8389
7.98               -0.1375         -7.8792
8.01               -0.1382         -7.9187
8.04               -0.1389         -7.9575
8.07               -0.1395         -7.9955
8.10               -0.1402         -8.0327
8.13               -0.1408         -8.0690
8.16               -0.1415         -8.1046
8.19               -0.1421         -8.1394
8.22               -0.1427         -8.1734
8.25               -0.1432         -8.2065
8.28               -0.1438         -8.2389
8.31               -0.1443         -8.2704
8.34               -0.1449         -8.3011
8.37               -0.1454         -8.3310
8.40               -0.1459         -8.3600
8.43               -0.1464         -8.3882
8.46               -0.1469         -8.4155
8.49               -0.1473         -8.4420
8.52               -0.1478         -8.4677
8.55               -0.1482         -8.4925
8.58               -0.1486         -8.5165
8.61               -0.1490         -8.5396
8.64               -0.1494         -8.5618
8.67               -0.1498         -8.5832
8.70               -0.1502         -8.6037
8.73               -0.1505         -8.6234
8.76               -0.1508         -8.6422
8.79               -0.1511         -8.6601
8.82               -0.1514         -8.6771
8.85               -0.1517         -8.6933
8.88               -0.1520         -8.7086
8.91               -0.1522         -8.7231
8.94               -0.1525         -8.7366
8.97               -0.1527         -8.7493
9.00               -0.1529         -8.7611
9.03               -0.1531         -8.7720
9.06               -0.1533         -8.7821
9.09               -0.1534         -8.7913
9.12               -0.1536         -8.7996
9.15               -0.1537         -8.8070
9.18               -0.1538         -8.8136
9.21               -0.1539         -8.8192
9.24               -0.1540         -8.8240
9.27               -0.1541         -8.8280
9.30               -0.1541         -8.8310
9.33               -0.1542         -8.8332
9.36               -0.1542         -8.8346
9.39               -0.1542         -8.8350
9.42               -0.1542         -8.8346
9.45               -0.1542         -8.8334
9.48               -0.1541         -8.8312
9.51               -0.1541         -8.8282
9.54               -0.1540         -8.8244
9.57               -0.1539         -8.8197
9.60               -0.1538         -8.8141
9.63               -0.1537         -8.8077
9.66               -0.1536         -8.8005
9.69               -0.1535         -8.7923
9.72               -0.1533         -8.7834
9.75               -0.1531         -8.7736
9.78               -0.1529         -8.7630
9.81               -0.1527         -8.7515
9.84               -0.1525         -8.7392
9.87               -0.1523         -8.7260
9.90               -0.1521         -8.7121
9.93               -0.1518         -8.6973
9.96               -0.1515         -8.6816
9.99               -0.1512         -8.6652
10.02              -0.1509         -8.6479
10.05              -0.1506         -8.6299
10.08              -0.1503         -8.6110
10.11              -0.1499         -8.5913
10.14              -0.1496         -8.5708
10.17              -0.1492         -8.5495
10.20              -0.1488         -8.5273
10.23              -0.1484         -8.5044
10.26              -0.1480         -8.4807
10.29              -0.1476         -8.4562
10.32              -0.1471         -8.4309
10.35              -0.1467         -8.4048
10.38              -0.1462         -8.3779
10.41              -0.1457         -8.3502
10.44              -0.1452         -8.3218
10.47              -0.1447         -8.2926
10.50              -0.1442         -8.2626
10.53              -0.1437         -8.2318
10.56              -0.1431         -8.2002
10.59              -0.1426         -8.1679
10.62              -0.1420         -8.1348
10.65              -0.1414         -8.1010
10.68              -0.1408         -8.0664
10.71              -0.1402         -8.0310
10.74              -0.1395         -7.9949
10.77              -0.1389         -7.9580
10.80              -0.1382         -7.9204
10.83              -0.1376         -7.8821
10.86              -0.1369         -7.8430
10.89              -0.1362         -7.8031
10.92              -0.1355         -7.7625
10.95              -0.1348         -7.7212
10.98              -0.1340         -7.6792
11.01              -0.1333         -7.6364
11.04              -0.1325         -7.5929
11.07              -0.1317         -7.5487
11.10              -0.1310         -7.5038
11.13              -0.1302         -7.4581
11.16              -0.1294         -7.4118
11.19              -0.1285         -7.3648
11.22              -0.1277         -7.3170
11.25              -0.1269         -7.2686
11.28              -0.1260         -7.2195
11.31              -0.1251         -7.1696
11.34              -0.1243         -7.1192
11.37              -0.1234         -7.0680
11.40              -0.1225         -7.0162
11.43              -0.1215         -6.9637
11.46              -0.1206         -6.9105
11.49              -0.1197         -6.8567
11.52              -0.1187         -6.8022
