Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
3.405             0.005452        0.312362
3.420             0.005415        0.310243
3.435             0.005379        0.308201
3.450             0.005345        0.306236
3.465             0.005312        0.304349
3.480             0.005280        0.302542
3.495             0.005250        0.300816
3.510             0.005222        0.299171
3.525             0.005194        0.297607
3.540             0.005168        0.296125
3.555             0.005144        0.294726
3.570             0.005121        0.293408
3.585             0.005099        0.292172
3.600             0.005079        0.291017
3.615             0.005060        0.289943
3.630             0.005043        0.288948
3.645             0.005027        0.288032
3.660             0.005012        0.287193
3.675             0.004999        0.286430
3.690             0.004987        0.285740
3.705             0.004976        0.285123
3.720             0.004967        0.284575
3.735             0.004958        0.284095
3.750             0.004951        0.283680
3.765             0.004945        0.283328
3.780             0.004940        0.283034
3.795             0.004936        0.282796
3.810             0.004933        0.282612
3.825             0.004930        0.282476
3.840             0.004929        0.282386
3.855             0.004928        0.282337
3.870             0.004928        0.282326
3.885             0.004928        0.282349
3.900             0.004929        0.282400
3.915             0.004930        0.282475
3.930             0.004932        0.282570
3.945             0.004934        0.282679
3.960             0.004936        0.282799
3.975             0.004938        0.282923
3.990             0.004940        0.283046
4.005             0.004942        0.283163
4.020             0.004944        0.283269
4.035             0.004946        0.283358
4.050             0.004947        0.283425
4.065             0.004947        0.283463
4.080             0.004947        0.283468
4.095             0.004947        0.283433
4.110             0.004945        0.283353
4.125             0.004943        0.283222
4.140             0.004940        0.283033
4.155             0.004935        0.282782
4.170             0.004930        0.282462
4.185             0.004923        0.282068
4.200             0.004915        0.281594
4.215             0.004905        0.281034
4.230             0.004894        0.280382
4.245             0.004881        0.279634
4.260             0.004866        0.278783
4.275             0.004849        0.277824
4.290             0.004830        0.276751
4.305             0.004809        0.275560
4.320             0.004786        0.274246
4.335             0.004761        0.272803
4.350             0.004734        0.271226
4.365             0.004704        0.269512
4.380             0.004671        0.267654
4.395             0.004636        0.265650
4.410             0.004599        0.263495
4.425             0.004559        0.261184
4.440             0.004515        0.258715
4.455             0.004469        0.256082
4.470             0.004421        0.253284
4.485             0.004369        0.250316
4.500             0.004314        0.247175
4.515             0.004256        0.243859
4.530             0.004195        0.240365
4.545             0.004131        0.236690
4.560             0.004064        0.232833
4.575             0.003993        0.228792
4.590             0.003919        0.224563
4.605             0.003842        0.220147
4.620             0.003762        0.215541
4.635             0.003678        0.210745
4.650             0.003591        0.205758
4.665             0.003501        0.200579
4.680             0.003407        0.195207
4.695             0.003310        0.189643
4.710             0.003209        0.183886
4.725             0.003106        0.177937
4.740             0.002998        0.171796
4.755             0.002888        0.165463
4.770             0.002774        0.158940
4.785             0.002657        0.152227
4.800             0.002536        0.145326
4.815             0.002413        0.138239
4.830             0.002286        0.130966
4.845             0.002156        0.123509
4.860             0.002022        0.115872
4.875             0.001886        0.108055
4.890             0.001746        0.100061
4.905             0.001604        0.091892
4.920             0.001458        0.083552
4.935             0.001310        0.075043
4.950             0.001158        0.066367
4.965             0.001004        0.057529
4.980             0.000847        0.048530
4.995             0.000687        0.039375
5.010             0.000525        0.030067
5.025             0.000360        0.020608
5.040             0.000192        0.011004
5.055             0.000022        0.001258
5.070            -0.000151       -0.008627
5.085            -0.000325       -0.018646
5.100            -0.000503       -0.028797
5.115            -0.000682       -0.039073
5.130            -0.000863       -0.049472
5.145            -0.001047       -0.059990
5.160            -0.001233       -0.070621
5.175            -0.001420       -0.081363
5.190            -0.001609       -0.092209
5.205            -0.001800       -0.103157
5.220            -0.001993       -0.114202
5.235            -0.002188       -0.125340
5.250            -0.002384       -0.136565
5.265            -0.002581       -0.147874
5.280            -0.002780       -0.159262
5.295            -0.002980       -0.170725
5.310            -0.003181       -0.182259
5.325            -0.003383       -0.193859
5.340            -0.003587       -0.205520
5.355            -0.003792       -0.217239
5.370            -0.003997       -0.229012
5.385            -0.004203       -0.240833
5.400            -0.004410       -0.252698
5.415            -0.004618       -0.264605
5.430            -0.004827       -0.276548
5.445            -0.005036       -0.288523
5.460            -0.005245       -0.300527
5.475            -0.005455       -0.312555
5.490            -0.005665       -0.324604
5.505            -0.005876       -0.336669
5.520            -0.006087       -0.348748
5.535            -0.006298       -0.360837
5.550            -0.006509       -0.372931
5.565            -0.006720       -0.385029
5.580            -0.006931       -0.397125
5.595            -0.007142       -0.409219
5.610            -0.007353       -0.421305
5.625            -0.007564       -0.433381
5.640            -0.007774       -0.445445
5.655            -0.007985       -0.457493
5.670            -0.008195       -0.469523
5.685            -0.008404       -0.481533
5.700            -0.008614       -0.493520
5.715            -0.008822       -0.505482
5.730            -0.009031       -0.517417
5.745            -0.009238       -0.529323
5.760            -0.009446       -0.541198
5.775            -0.009652       -0.553041
5.790            -0.009858       -0.564850
5.805            -0.010064       -0.576624
5.820            -0.010269       -0.588362
5.835            -0.010473       -0.600062
5.850            -0.010677       -0.611724
5.865            -0.010879       -0.623347
5.880            -0.011082       -0.634931
5.895            -0.011283       -0.646476
5.910            -0.011484       -0.657980
5.925            -0.011684       -0.669444
5.940            -0.011883       -0.680869
5.955            -0.012082       -0.692253
5.970            -0.012280       -0.703599
5.985            -0.012477       -0.714906
6.000            -0.012674       -0.726175
6.015            -0.012870       -0.737407
6.030            -0.013066       -0.748602
6.045            -0.013260       -0.759763
6.060            -0.013455       -0.770890
6.075            -0.013648       -0.781985
6.090            -0.013841       -0.793050
6.105            -0.014034       -0.804085
6.120            -0.014226       -0.815092
6.135            -0.014418       -0.826075
6.150            -0.014609       -0.837033
6.165            -0.014800       -0.847971
6.180            -0.014990       -0.858889
6.195            -0.015181       -0.869790
6.210            -0.015371       -0.880676
6.225            -0.015560       -0.891549
6.240            -0.015750       -0.902413
6.255            -0.015940       -0.913269
6.270            -0.016129       -0.924120
6.285            -0.016318       -0.934968
6.300            -0.016508       -0.945817
6.315            -0.016697       -0.956667
6.330            -0.016886       -0.967523
6.345            -0.017076       -0.978386
6.360            -0.017266       -0.989260
6.375            -0.017456       -1.000146
6.390            -0.017646       -1.011046
6.405            -0.017837       -1.021964
6.420            -0.018028       -1.032902
6.435            -0.018219       -1.043861
6.450            -0.018411       -1.054844
6.465            -0.018603       -1.065854
6.480            -0.018795       -1.076891
6.495            -0.018988       -1.087958
6.510            -0.019182       -1.099057
6.525            -0.019376       -1.110189
6.540            -0.019571       -1.121356
6.555            -0.019767       -1.132559
6.570            -0.019963       -1.143799
6.585            -0.020160       -1.155077
6.600            -0.020357       -1.166394
6.615            -0.020556       -1.177752
6.630            -0.020755       -1.189150
6.645            -0.020954       -1.200589
6.660            -0.021155       -1.212068
6.675            -0.021356       -1.223589
