Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
6.54               -0.0912         -5.2243
6.57               -0.0925         -5.2972
6.60               -0.0937         -5.3697
6.63               -0.0950         -5.4416
6.66               -0.0962         -5.5131
6.69               -0.0975         -5.5840
6.72               -0.0987         -5.6545
6.75               -0.0999         -5.7244
6.78               -0.1011         -5.7938
6.81               -0.1023         -5.8627
6.84               -0.1035         -5.9310
6.87               -0.1047         -5.9988
6.90               -0.1059         -6.0660
6.93               -0.1070         -6.1327
6.96               -0.1082         -6.1988
6.99               -0.1093         -6.2644
7.02               -0.1105         -6.3294
7.05               -0.1116         -6.3937
7.08               -0.1127         -6.4575
7.11               -0.1138         -6.5207
7.14               -0.1149         -6.5833
7.17               -0.1160         -6.6453
7.20               -0.1171         -6.7067
7.23               -0.1181         -6.7674
7.26               -0.1192         -6.8275
7.29               -0.1202         -6.8870
7.32               -0.1212         -6.9459
7.35               -0.1222         -7.0040
7.38               -0.1232         -7.0616
7.41               -0.1242         -7.1184
7.44               -0.1252         -7.1746
7.47               -0.1262         -7.2301
7.50               -0.1271         -7.2850
7.53               -0.1281         -7.3391
7.56               -0.1290         -7.3925
7.59               -0.1299         -7.4453
7.62               -0.1309         -7.4973
7.65               -0.1317         -7.5486
7.68               -0.1326         -7.5992
7.71               -0.1335         -7.6491
7.74               -0.1344         -7.6982
7.77               -0.1352         -7.7466
7.80               -0.1360         -7.7943
7.83               -0.1369         -7.8412
7.86               -0.1377         -7.8873
7.89               -0.1385         -7.9327
7.92               -0.1392         -7.9773
7.95               -0.1400         -8.0212
7.98               -0.1407         -8.0643
8.01               -0.1415         -8.1065
8.04               -0.1422         -8.1480
8.07               -0.1429         -8.1887
8.10               -0.1436         -8.2287
8.13               -0.1443         -8.2678
8.16               -0.1450         -8.3061
8.19               -0.1456         -8.3435
8.22               -0.1463         -8.3802
8.25               -0.1469         -8.4161
8.28               -0.1475         -8.4511
8.31               -0.1481         -8.4853
8.34               -0.1487         -8.5187
8.37               -0.1492         -8.5512
8.40               -0.1498         -8.5829
8.43               -0.1503         -8.6138
8.46               -0.1509         -8.6438
8.49               -0.1514         -8.6730
8.52               -0.1519         -8.7013
8.55               -0.1523         -8.7288
8.58               -0.1528         -8.7554
8.61               -0.1533         -8.7812
8.64               -0.1537         -8.8061
8.67               -0.1541         -8.8302
8.70               -0.1545         -8.8534
8.73               -0.1549         -8.8757
8.76               -0.1553         -8.8972
8.79               -0.1556         -8.9178
8.82               -0.1560         -8.9375
8.85               -0.1563         -8.9564
8.88               -0.1566         -8.9744
8.91               -0.1569         -8.9915
8.94               -0.1572         -9.0077
8.97               -0.1575         -9.0231
9.00               -0.1577         -9.0376
9.03               -0.1580         -9.0513
9.06               -0.1582         -9.0641
9.09               -0.1584         -9.0760
9.12               -0.1586         -9.0870
9.15               -0.1588         -9.0971
9.18               -0.1589         -9.1064
9.21               -0.1591         -9.1148
9.24               -0.1592         -9.1224
9.27               -0.1593         -9.1290
9.30               -0.1594         -9.1348
9.33               -0.1595         -9.1398
9.36               -0.1596         -9.1438
9.39               -0.1596         -9.1470
9.42               -0.1597         -9.1493
9.45               -0.1597         -9.1508
9.48               -0.1597         -9.1514
9.51               -0.1597         -9.1511
9.54               -0.1597         -9.1499
9.57               -0.1597         -9.1479
9.60               -0.1596         -9.1451
9.63               -0.1595         -9.1413
9.66               -0.1595         -9.1367
9.69               -0.1594         -9.1313
9.72               -0.1593         -9.1250
9.75               -0.1591         -9.1178
9.78               -0.1590         -9.1098
9.81               -0.1588         -9.1009
9.84               -0.1587         -9.0912
9.87               -0.1585         -9.0806
9.90               -0.1583         -9.0691
9.93               -0.1581         -9.0568
9.96               -0.1578         -9.0437
9.99               -0.1576         -9.0297
10.02              -0.1573         -9.0149
10.05              -0.1571         -8.9992
10.08              -0.1568         -8.9827
10.11              -0.1565         -8.9653
10.14              -0.1562         -8.9471
10.17              -0.1558         -8.9281
10.20              -0.1555         -8.9082
10.23              -0.1551         -8.8875
10.26              -0.1547         -8.8660
10.29              -0.1544         -8.8436
10.32              -0.1539         -8.8204
10.35              -0.1535         -8.7964
10.38              -0.1531         -8.7715
10.41              -0.1526         -8.7458
10.44              -0.1522         -8.7193
10.47              -0.1517         -8.6920
10.50              -0.1512         -8.6639
10.53              -0.1507         -8.6349
10.56              -0.1502         -8.6052
10.59              -0.1497         -8.5746
10.62              -0.1491         -8.5432
10.65              -0.1485         -8.5110
10.68              -0.1480         -8.4780
10.71              -0.1474         -8.4442
10.74              -0.1468         -8.4096
10.77              -0.1462         -8.3742
10.80              -0.1455         -8.3380
10.83              -0.1449         -8.3011
10.86              -0.1442         -8.2633
10.89              -0.1435         -8.2248
10.92              -0.1429         -8.1855
10.95              -0.1422         -8.1454
10.98              -0.1415         -8.1045
11.01              -0.1407         -8.0629
11.04              -0.1400         -8.0205
11.07              -0.1392         -7.9773
11.10              -0.1385         -7.9334
11.13              -0.1377         -7.8887
11.16              -0.1369         -7.8433
11.19              -0.1361         -7.7971
11.22              -0.1353         -7.7502
11.25              -0.1344         -7.7026
11.28              -0.1336         -7.6542
11.31              -0.1327         -7.6051
11.34              -0.1319         -7.5553
11.37              -0.1310         -7.5048
11.40              -0.1301         -7.4535
11.43              -0.1292         -7.4016
11.46              -0.1283         -7.3489
11.49              -0.1273         -7.2956
11.52              -0.1264         -7.2415
11.55              -0.1254         -7.1868
11.58              -0.1245         -7.1314
11.61              -0.1235         -7.0753
11.64              -0.1225         -7.0186
11.67              -0.1215         -6.9612
11.70              -0.1205         -6.9031
11.73              -0.1195         -6.8444
11.76              -0.1184         -6.7851
11.79              -0.1174         -6.7251
11.82              -0.1163         -6.6645
11.85              -0.1152         -6.6032
11.88              -0.1142         -6.5414
11.91              -0.1131         -6.4789
11.94              -0.1120         -6.4158
11.97              -0.1109         -6.3522
12.00              -0.1097         -6.2879
12.03              -0.1086         -6.2230
12.06              -0.1075         -6.1576
12.09              -0.1063         -6.0916
12.12              -0.1052         -6.0251
12.15              -0.1040         -5.9580
12.18              -0.1028         -5.8903
12.21              -0.1016         -5.8221
12.24              -0.1004         -5.7534
12.27              -0.0992         -5.6841
12.30              -0.0980         -5.6143
12.33              -0.0968         -5.5440
12.36              -0.0955         -5.4732
12.39              -0.0943         -5.4019
12.42              -0.0930         -5.3301
12.45              -0.0918         -5.2579
12.48              -0.0905         -5.1851
12.51              -0.0892         -5.1119
12.54              -0.0879         -5.0382
12.57              -0.0866         -4.9641
12.60              -0.0853         -4.8895
12.63              -0.0840         -4.8145
12.66              -0.0827         -4.7391
12.69              -0.0814         -4.6632
12.72              -0.0801         -4.5869
12.75              -0.0787         -4.5102
12.78              -0.0774         -4.4331
12.81              -0.0760         -4.3556
12.84              -0.0747         -4.2777
12.87              -0.0733         -4.1995
12.90              -0.0719         -4.1208
12.93              -0.0705         -4.0418
12.96              -0.0692         -3.9625
12.99              -0.0678         -3.8828
13.02              -0.0664         -3.8027
13.05              -0.0650         -3.7224
13.08              -0.0636         -3.6416
13.11              -0.0621         -3.5606
13.14              -0.0607         -3.4793
13.17              -0.0593         -3.3976
13.20              -0.0579         -3.3157
13.23              -0.0564         -3.2335
13.26              -0.0550         -3.1509
13.29              -0.0535         -3.0681
13.32              -0.0521         -2.9851
13.35              -0.0506         -2.9018
13.38              -0.0492         -2.8182
13.41              -0.0477         -2.7344
13.44              -0.0463         -2.6503
13.47              -0.0448         -2.5660
13.50              -0.0433         -2.4815
13.53              -0.0418         -2.3968
13.56              -0.0403         -2.3118
13.59              -0.0389         -2.2267
13.62              -0.0374         -2.1414
13.65              -0.0359         -2.0558
13.68              -0.0344         -1.9701
13.71              -0.0329         -1.8843
13.74              -0.0314         -1.7982
13.77              -0.0299         -1.7120
13.80              -0.0284         -1.6257
13.83              -0.0269         -1.5392
13.86              -0.0254         -1.4526
13.89              -0.0238         -1.3659
13.92              -0.0223         -1.2790
13.95              -0.0208         -1.1920
13.98              -0.0193         -1.1049
14.01              -0.0178         -1.0178
14.04              -0.0162         -0.9305
14.07              -0.0147         -0.8432
14.10              -0.0132         -0.7558
14.13              -0.0117         -0.6683
14.16              -0.0101         -0.5807
14.19              -0.0086         -0.4931
14.22              -0.0071         -0.4055
14.25              -0.0055         -0.3179
14.28              -0.0040         -0.2302
14.31              -0.0025         -0.1425
14.34              -0.0010         -0.0547
14.37               0.0006          0.0330
14.40               0.0021          0.1207
14.43               0.0036          0.2084
14.46               0.0052          0.2961
14.49               0.0067          0.3838
14.52               0.0082          0.4714
14.55               0.0098          0.5590
14.58               0.0113          0.6465
14.61               0.0128          0.7339
14.64               0.0143          0.8213
14.67               0.0159          0.9086
14.70               0.0174          0.9959
14.73               0.0189          1.0830
14.76               0.0204          1.1700
14.79               0.0219          1.2570
14.82               0.0235          1.3438
14.85               0.0250          1.4304
14.88               0.0265          1.5170
14.91               0.0280          1.6034
14.94               0.0295          1.6897
14.97               0.0310          1.7758
15.00               0.0325          1.8617
15.03               0.0340          1.9474
15.06               0.0355          2.0330
15.09               0.0370          2.1184
15.12               0.0385          2.2036
15.15               0.0399          2.2886
15.18               0.0414          2.3733
15.21               0.0429          2.4579
15.24               0.0444          2.5422
15.27               0.0458          2.6262
15.30               0.0473          2.7101
15.33               0.0488          2.7936
15.36               0.0502          2.8769
15.39               0.0517          2.9600
15.42               0.0531          3.0427
15.45               0.0545          3.1252
15.48               0.0560          3.2073
15.51               0.0574          3.2892
15.54               0.0588          3.3708
15.57               0.0602          3.4520
15.60               0.0617          3.5329
15.63               0.0631          3.6135
15.66               0.0645          3.6937
15.69               0.0659          3.7736
15.72               0.0672          3.8531
15.75               0.0686          3.9323
15.78               0.0700          4.0111
15.81               0.0714          4.0895
15.84               0.0727          4.1675
15.87               0.0741          4.2451
15.90               0.0754          4.3223
15.93               0.0768          4.3991
15.96               0.0781          4.4755
15.99               0.0794          4.5515
16.02               0.0808          4.6270
16.05               0.0821          4.7021
16.08               0.0834          4.7768
16.11               0.0847          4.8510
16.14               0.0860          4.9247
16.17               0.0872          4.9980
16.20               0.0885          5.0708
16.23               0.0898          5.1431
16.26               0.0910          5.2149
16.29               0.0923          5.2862
16.32               0.0935          5.3570
16.35               0.0947          5.4273
16.38               0.0959          5.4971
16.41               0.0972          5.5664
16.44               0.0984          5.6352
16.47               0.0995          5.7034
16.50               0.1007          5.7711
16.53               0.1019          5.8382
16.56               0.1031          5.9047
16.59               0.1042          5.9708
16.62               0.1054          6.0362
16.65               0.1065          6.1011
16.68               0.1076          6.1654
16.71               0.1087          6.2291
16.74               0.1098          6.2922
16.77               0.1109          6.3547
16.80               0.1120          6.4166
16.83               0.1131          6.4779
16.86               0.1141          6.5386
16.89               0.1152          6.5986
16.92               0.1162          6.6581
16.95               0.1172          6.7169
16.98               0.1182          6.7751
17.01               0.1193          6.8326
17.04               0.1202          6.8895
17.07               0.1212          6.9457
17.10               0.1222          7.0013
17.13               0.1232          7.0562
17.16               0.1241          7.1104
17.19               0.1250          7.1640
17.22               0.1260          7.2168
17.25               0.1269          7.2690
17.28               0.1278          7.3205
17.31               0.1287          7.3714
17.34               0.1295          7.4215
17.37               0.1304          7.4709
17.40               0.1312          7.5196
17.43               0.1321          7.5675
17.46               0.1329          7.6148
17.49               0.1337          7.6613
17.52               0.1345          7.7071
17.55               0.1353          7.7522
17.58               0.1361          7.7966
17.61               0.1368          7.8402
17.64               0.1376          7.8830
17.67               0.1383          7.9251
17.70               0.1390          7.9665
17.73               0.1397          8.0071
17.76               0.1404          8.0469
17.79               0.1411          8.0859
17.82               0.1418          8.1242
17.85               0.1424          8.1618
17.88               0.1431          8.1985
17.91               0.1437          8.2345
17.94               0.1443          8.2696
17.97               0.1449          8.3040
18.00               0.1455          8.3376
18.03               0.1461          8.3704
18.06               0.1466          8.4024
18.09               0.1472          8.4336
18.12               0.1477          8.4640
18.15               0.1482          8.4936
18.18               0.1487          8.5224
18.21               0.1492          8.5503
18.24               0.1497          8.5775
18.27               0.1502          8.6038
18.30               0.1506          8.6293
18.33               0.1510          8.6540
18.36               0.1515          8.6778
18.39               0.1519          8.7008
18.42               0.1522          8.7230
18.45               0.1526          8.7444
18.48               0.1530          8.7649
18.51               0.1533          8.7846
18.54               0.1536          8.8034
18.57               0.1540          8.8214
18.60               0.1543          8.8385
18.63               0.1545          8.8548
18.66               0.1548          8.8703
18.69               0.1551          8.8849
18.72               0.1553          8.8986
18.75               0.1555          8.9115
18.78               0.1557          8.9236
18.81               0.1559          8.9348
18.84               0.1561          8.9451
18.87               0.1563          8.9546
18.90               0.1564          8.9632
18.93               0.1566          8.9709
18.96               0.1567          8.9778
18.99               0.1568          8.9838
19.02               0.1569          8.9890
19.05               0.1570          8.9933
19.08               0.1570          8.9968
19.11               0.1571          8.9993
19.14               0.1571          9.0011
19.17               0.1571          9.0019
19.20               0.1571          9.0019
19.23               0.1571          9.0010
19.26               0.1571          8.9993
19.29               0.1570          8.9967
19.32               0.1570          8.9933
19.35               0.1569          8.9889
19.38               0.1568          8.9838
19.41               0.1567          8.9777
19.44               0.1566          8.9708
19.47               0.1564          8.9631
19.50               0.1563          8.9545
19.53               0.1561          8.9450
19.56               0.1559          8.9347
19.59               0.1557          8.9235
19.62               0.1555          8.9115
19.65               0.1553          8.8986
19.68               0.1551          8.8849
19.71               0.1548          8.8703
19.74               0.1545          8.8548
19.77               0.1543          8.8386
19.80               0.1540          8.8215
19.83               0.1537          8.8035
19.86               0.1533          8.7847
19.89               0.1530          8.7651
19.92               0.1526          8.7446
19.95               0.1523          8.7233
19.98               0.1519          8.7012
20.01               0.1515          8.6783
20.04               0.1510          8.6545
20.07               0.1506          8.6299
20.10               0.1502          8.6045
20.13               0.1497          8.5783
20.16               0.1492          8.5512
20.19               0.1488          8.5234
20.22               0.1483          8.4947
20.25               0.1477          8.4653
20.28               0.1472          8.4350
20.31               0.1467          8.4039
20.34               0.1461          8.3721
20.37               0.1456          8.3394
20.40               0.1450          8.3060
20.43               0.1444          8.2718
20.46               0.1438          8.2368
20.49               0.1431          8.2010
20.52               0.1425          8.1645
20.55               0.1418          8.1272
20.58               0.1412          8.0891
20.61               0.1405          8.0503
20.64               0.1398          8.0107
20.67               0.1391          7.9703
20.70               0.1384          7.9292
20.73               0.1377          7.8874
20.76               0.1369          7.8448
20.79               0.1362          7.8015
20.82               0.1354          7.7575
20.85               0.1346          7.7127
20.88               0.1338          7.6672
20.91               0.1330          7.6210
20.94               0.1322          7.5741
20.97               0.1314          7.5265
21.00               0.1305          7.4782
21.03               0.1297          7.4292
21.06               0.1288          7.3795
21.09               0.1279          7.3291
21.12               0.1270          7.2780
21.15               0.1261          7.2262
21.18               0.1252          7.1738
21.21               0.1243          7.1207
21.24               0.1233          7.0669
21.27               0.1224          7.0125
21.30               0.1214          6.9575
21.33               0.1205          6.9017
21.36               0.1195          6.8454
21.39               0.1185          6.7884
21.42               0.1175          6.7308
21.45               0.1165          6.6726
21.48               0.1154          6.6137
21.51               0.1144          6.5542
21.54               0.1133          6.4942
21.57               0.1123          6.4335
21.60               0.1112          6.3722
21.63               0.1101          6.3104
21.66               0.1090          6.2480
21.69               0.1079          6.1849
21.72               0.1068          6.1214
21.75               0.1057          6.0572
21.78               0.1046          5.9925
21.81               0.1035          5.9273
21.84               0.1023          5.8615
21.87               0.1011          5.7951
21.90               0.1000          5.7283
21.93               0.0988          5.6609
21.96               0.0976          5.5930
21.99               0.0964          5.5245
22.02               0.0952          5.4556
22.05               0.0940          5.3862
22.08               0.0928          5.3162
22.11               0.0916          5.2458
22.14               0.0903          5.1749
22.17               0.0891          5.1036
22.20               0.0878          5.0317
22.23               0.0866          4.9594
22.26               0.0853          4.8867
22.29               0.0840          4.8135
22.32               0.0827          4.7399
22.35               0.0814          4.6658
22.38               0.0801          4.5913
22.41               0.0788          4.5164
22.44               0.0775          4.4411
22.47               0.0762          4.3654
22.50               0.0749          4.2893
22.53               0.0735          4.2128
22.56               0.0722          4.1359
22.59               0.0708          4.0586
22.62               0.0695          3.9810
22.65               0.0681          3.9030
22.68               0.0668          3.8246
22.71               0.0654          3.7459
22.74               0.0640          3.6669
22.77               0.0626          3.5875
22.80               0.0612          3.5079
22.83               0.0598          3.4279
22.86               0.0584          3.3475
22.89               0.0570          3.2669
22.92               0.0556          3.1860
22.95               0.0542          3.1048
22.98               0.0528          3.0234
23.01               0.0513          2.9416
23.04               0.0499          2.8596
23.07               0.0485          2.7774
23.10               0.0470          2.6949
23.13               0.0456          2.6121
23.16               0.0441          2.5291
23.19               0.0427          2.4459
23.22               0.0412          2.3625
23.25               0.0398          2.2789
23.28               0.0383          2.1950
23.31               0.0368          2.1110
23.34               0.0354          2.0268
23.37               0.0339          1.9424
23.40               0.0324          1.8578
23.43               0.0309          1.7731
23.46               0.0295          1.6882
23.49               0.0280          1.6032
23.52               0.0265          1.5180
23.55               0.0250          1.4327
23.58               0.0235          1.3473
23.61               0.0220          1.2617
23.64               0.0205          1.1761
23.67               0.0190          1.0903
23.70               0.0175          1.0045
23.73               0.0160          0.9186
23.76               0.0145          0.8326
23.79               0.0130          0.7465
23.82               0.0115          0.6604
23.85               0.0100          0.5742
23.88               0.0085          0.4879
23.91               0.0070          0.4017
23.94               0.0055          0.3154
23.97               0.0040          0.2291
24.00               0.0025          0.1427
24.03               0.0010          0.0564
24.06              -0.0005         -0.0299
24.09              -0.0020         -0.1162
24.12              -0.0035         -0.2026
24.15              -0.0050         -0.2888
24.18              -0.0065         -0.3751
24.21              -0.0081         -0.4613
24.24              -0.0096         -0.5474
24.27              -0.0111         -0.6335
24.30              -0.0126         -0.7195
24.33              -0.0141         -0.8055
24.36              -0.0156         -0.8914
24.39              -0.0171         -0.9772
24.42              -0.0186         -1.0628
24.45              -0.0200         -1.1484
24.48              -0.0215         -1.2339
24.51              -0.0230         -1.3192
24.54              -0.0245         -1.4045
24.57              -0.0260         -1.4895
24.60              -0.0275         -1.5745
24.63              -0.0290         -1.6593
24.66              -0.0304         -1.7439
24.69              -0.0319         -1.8284
24.72              -0.0334         -1.9127
24.75              -0.0349         -1.9968
24.78              -0.0363         -2.0807
24.81              -0.0378         -2.1644
24.84              -0.0392         -2.2479
24.87              -0.0407         -2.3312
24.90              -0.0421         -2.4143
24.93              -0.0436         -2.4971
24.96              -0.0450         -2.5797
24.99              -0.0465         -2.6621
25.02              -0.0479         -2.7442
25.05              -0.0493         -2.8261
25.08              -0.0507         -2.9077
25.11              -0.0522         -2.9890
25.14              -0.0536         -3.0700
25.17              -0.0550         -3.1507
25.20              -0.0564         -3.2312
25.23              -0.0578         -3.3113
25.26              -0.0592         -3.3912
25.29              -0.0606         -3.4707
25.32              -0.0620         -3.5499
25.35              -0.0633         -3.6287
25.38              -0.0647         -3.7072
25.41              -0.0661         -3.7854
25.44              -0.0674         -3.8632
25.47              -0.0688         -3.9406
25.50              -0.0701         -4.0177
25.53              -0.0715         -4.0944
25.56              -0.0728         -4.1707
25.59              -0.0741         -4.2466
25.62              -0.0754         -4.3221
25.65              -0.0767         -4.3972
25.68              -0.0780         -4.4719
25.71              -0.0793         -4.5462
25.74              -0.0806         -4.6201
25.77              -0.0819         -4.6935
25.80              -0.0832         -4.7664
25.83              -0.0845         -4.8390
25.86              -0.0857         -4.9110
25.89              -0.0870         -4.9826
25.92              -0.0882         -5.0538
25.95              -0.0894         -5.1244
25.98              -0.0907         -5.1946
26.01              -0.0919         -5.2643
26.04              -0.0931         -5.3335
26.07              -0.0943         -5.4022
26.10              -0.0955         -5.4703
26.13              -0.0967         -5.5380
26.16              -0.0978         -5.6051
26.19              -0.0990         -5.6717
26.22              -0.1001         -5.7378
26.25              -0.1013         -5.8033
26.28              -0.1024         -5.8683
26.31              -0.1035         -5.9328
26.34              -0.1047         -5.9966
26.37              -0.1058         -6.0599
26.40              -0.1069         -6.1227
26.43              -0.1079         -6.1848
26.46              -0.1090         -6.2464
26.49              -0.1101         -6.3073
26.52              -0.1111         -6.3677
26.55              -0.1122         -6.4275
26.58              -0.1132         -6.4866
26.61              -0.1142         -6.5452
26.64              -0.1152         -6.6031
26.67              -0.1162         -6.6604
26.70              -0.1172         -6.7171
26.73              -0.1182         -6.7731
26.76              -0.1192         -6.8285
26.79              -0.1201         -6.8832
26.82              -0.1211         -6.9373
26.85              -0.1220         -6.9908
26.88              -0.1229         -7.0435
26.91              -0.1238         -7.0956
26.94              -0.1247         -7.1470
26.97              -0.1256         -7.1978
27.00              -0.1265         -7.2478
27.03              -0.1274         -7.2972
27.06              -0.1282         -7.3458
27.09              -0.1290         -7.3938
