# SEA-Stack Verification Data
# format: timeseries
# source: inw
# model: f3of_decay_multicode
# quantity: dt1_surge
# units: s, m
# columns: Time(s) SURGE(m)
1.900380e+01 -3.939894e+00
1.910382e+01 -3.975683e+00
1.920384e+01 -4.010861e+00
1.930386e+01 -4.045444e+00
1.940388e+01 -4.079453e+00
1.950390e+01 -4.112902e+00
1.960392e+01 -4.145808e+00
1.970394e+01 -4.178187e+00
1.980396e+01 -4.210052e+00
1.990398e+01 -4.241417e+00
2.000400e+01 -4.272293e+00
2.010402e+01 -4.302689e+00
2.020404e+01 -4.332612e+00
2.030406e+01 -4.362068e+00
2.040408e+01 -4.391058e+00
2.050410e+01 -4.419585e+00
2.060412e+01 -4.447644e+00
2.070414e+01 -4.475231e+00
2.080416e+01 -4.502339e+00
2.090418e+01 -4.528956e+00
2.100420e+01 -4.555068e+00
2.110422e+01 -4.580660e+00
2.120424e+01 -4.605711e+00
2.130426e+01 -4.630199e+00
2.140428e+01 -4.654100e+00
2.150430e+01 -4.677387e+00
2.160432e+01 -4.700031e+00
2.170434e+01 -4.722000e+00
2.180436e+01 -4.743265e+00
2.190438e+01 -4.763791e+00
2.200440e+01 -4.783546e+00
2.210442e+01 -4.802496e+00
2.220444e+01 -4.820610e+00
2.230446e+01 -4.837855e+00
2.240448e+01 -4.854201e+00
2.250450e+01 -4.869619e+00
2.260452e+01 -4.884080e+00
2.270454e+01 -4.897560e+00
2.280456e+01 -4.910034e+00
2.290458e+01 -4.921482e+00
2.300460e+01 -4.931884e+00
2.310462e+01 -4.941224e+00
2.320464e+01 -4.949488e+00
2.330466e+01 -4.956665e+00
2.340468e+01 -4.962744e+00
2.350470e+01 -4.967718e+00
2.360472e+01 -4.971582e+00
2.370474e+01 -4.974332e+00
2.380476e+01 -4.975969e+00
2.390478e+01 -4.976491e+00
2.400480e+01 -4.975901e+00
2.410482e+01 -4.974204e+00
2.420484e+01 -4.971404e+00
2.430486e+01 -4.967509e+00
2.440488e+01 -4.962528e+00
2.450490e+01 -4.956471e+00
2.460492e+01 -4.949351e+00
2.470494e+01 -4.941181e+00
2.480496e+01 -4.931978e+00
2.490498e+01 -4.921758e+00
2.500500e+01 -4.910541e+00
2.510502e+01 -4.898348e+00
2.520504e+01 -4.885202e+00
2.530506e+01 -4.871127e+00
2.540508e+01 -4.856150e+00
2.550510e+01 -4.840297e+00
2.560512e+01 -4.823598e+00
2.570514e+01 -4.806082e+00
2.580516e+01 -4.787778e+00
2.590518e+01 -4.768715e+00
2.600520e+01 -4.748924e+00
2.610522e+01 -4.728433e+00
2.620524e+01 -4.707270e+00
2.630526e+01 -4.685462e+00
2.640528e+01 -4.663033e+00
2.650530e+01 -4.640007e+00
2.660532e+01 -4.616404e+00
2.670534e+01 -4.592242e+00
2.680536e+01 -4.567538e+00
2.690538e+01 -4.542306e+00
2.700540e+01 -4.516555e+00
2.710542e+01 -4.490294e+00
2.720544e+01 -4.463528e+00
2.730546e+01 -4.436260e+00
2.740548e+01 -4.408492e+00
2.750550e+01 -4.380220e+00
2.760552e+01 -4.351442e+00
2.770554e+01 -4.322153e+00
2.780556e+01 -4.292344e+00
2.790558e+01 -4.262008e+00
2.800560e+01 -4.231133e+00
2.810562e+01 -4.199708e+00
2.820564e+01 -4.167722e+00
2.830566e+01 -4.135160e+00
2.840568e+01 -4.102007e+00
2.850570e+01 -4.068249e+00
2.860572e+01 -4.033870e+00
2.870574e+01 -3.998854e+00
2.880576e+01 -3.963183e+00
2.890578e+01 -3.926842e+00
2.900580e+01 -3.889815e+00
2.910582e+01 -3.852084e+00
2.920584e+01 -3.813635e+00
2.930586e+01 -3.774452e+00
2.940588e+01 -3.734522e+00
2.950590e+01 -3.693830e+00
2.960592e+01 -3.652365e+00
2.970594e+01 -3.610117e+00
2.980596e+01 -3.567075e+00
2.990598e+01 -3.523233e+00
3.000600e+01 -3.478584e+00
3.010602e+01 -3.433124e+00
3.020604e+01 -3.386850e+00
3.030606e+01 -3.339762e+00
3.040608e+01 -3.291861e+00
3.050610e+01 -3.243149e+00
3.060612e+01 -3.193632e+00
3.070614e+01 -3.143316e+00
3.080616e+01 -3.092211e+00
3.090618e+01 -3.040326e+00
3.100620e+01 -2.987676e+00
3.110622e+01 -2.934275e+00
3.120624e+01 -2.880141e+00
3.130626e+01 -2.825293e+00
3.140628e+01 -2.769752e+00
3.150630e+01 -2.713545e+00
3.160632e+01 -2.656695e+00
3.170634e+01 -2.599232e+00
3.180636e+01 -2.541187e+00
3.190638e+01 -2.482590e+00
3.200640e+01 -2.423477e+00
3.210642e+01 -2.363881e+00
3.220644e+01 -2.303838e+00
3.230646e+01 -2.243385e+00
3.240648e+01 -2.182558e+00
3.250650e+01 -2.121393e+00
3.260652e+01 -2.059926e+00
3.270654e+01 -1.998193e+00
3.280656e+01 -1.936227e+00
3.290658e+01 -1.874060e+00
3.300660e+01 -1.811725e+00
3.310662e+01 -1.749249e+00
3.320664e+01 -1.686659e+00
