# SEA-Stack Verification Data
# format: timeseries
# source: inw
# model: f3of_decay_multicode
# quantity: dt1_heave
# units: s, m
# columns: Time(s) HEAVE(m)
1.830366e+01 -9.030038e+00
1.840368e+01 -9.029819e+00
1.850370e+01 -9.029572e+00
1.860372e+01 -9.029299e+00
1.870374e+01 -9.029003e+00
1.880376e+01 -9.028684e+00
1.890378e+01 -9.028347e+00
1.900380e+01 -9.027993e+00
1.910382e+01 -9.027625e+00
1.920384e+01 -9.027245e+00
1.930386e+01 -9.026856e+00
1.940388e+01 -9.026461e+00
1.950390e+01 -9.026061e+00
1.960392e+01 -9.025661e+00
1.970394e+01 -9.025261e+00
1.980396e+01 -9.024865e+00
1.990398e+01 -9.024474e+00
2.000400e+01 -9.024091e+00
2.010402e+01 -9.023718e+00
2.020404e+01 -9.023356e+00
2.030406e+01 -9.023008e+00
2.040408e+01 -9.022676e+00
2.050410e+01 -9.022360e+00
2.060412e+01 -9.022062e+00
2.070414e+01 -9.021783e+00
2.080416e+01 -9.021525e+00
2.090418e+01 -9.021288e+00
2.100420e+01 -9.021074e+00
2.110422e+01 -9.020883e+00
2.120424e+01 -9.020715e+00
2.130426e+01 -9.020572e+00
2.140428e+01 -9.020452e+00
2.150430e+01 -9.020357e+00
2.160432e+01 -9.020287e+00
2.170434e+01 -9.020241e+00
2.180436e+01 -9.020219e+00
2.190438e+01 -9.020220e+00
2.200440e+01 -9.020245e+00
2.210442e+01 -9.020292e+00
2.220444e+01 -9.020360e+00
2.230446e+01 -9.020449e+00
2.240448e+01 -9.020558e+00
2.250450e+01 -9.020684e+00
2.260452e+01 -9.020828e+00
2.270454e+01 -9.020988e+00
2.280456e+01 -9.021161e+00
2.290458e+01 -9.021348e+00
2.300460e+01 -9.021547e+00
2.310462e+01 -9.021755e+00
2.320464e+01 -9.021972e+00
2.330466e+01 -9.022196e+00
2.340468e+01 -9.022426e+00
2.350470e+01 -9.022661e+00
2.360472e+01 -9.022899e+00
2.370474e+01 -9.023139e+00
2.380476e+01 -9.023379e+00
2.390478e+01 -9.023620e+00
2.400480e+01 -9.023858e+00
2.410482e+01 -9.024095e+00
2.420484e+01 -9.024328e+00
2.430486e+01 -9.024557e+00
2.440488e+01 -9.024782e+00
2.450490e+01 -9.025001e+00
2.460492e+01 -9.025214e+00
2.470494e+01 -9.025420e+00
2.480496e+01 -9.025620e+00
2.490498e+01 -9.025813e+00
2.500500e+01 -9.025998e+00
2.510502e+01 -9.026176e+00
2.520504e+01 -9.026346e+00
2.530506e+01 -9.026509e+00
2.540508e+01 -9.026664e+00
2.550510e+01 -9.026811e+00
2.560512e+01 -9.026950e+00
2.570514e+01 -9.027081e+00
2.580516e+01 -9.027204e+00
2.590518e+01 -9.027320e+00
2.600520e+01 -9.027428e+00
2.610522e+01 -9.027527e+00
2.620524e+01 -9.027619e+00
2.630526e+01 -9.027703e+00
2.640528e+01 -9.027778e+00
2.650530e+01 -9.027845e+00
2.660532e+01 -9.027904e+00
2.670534e+01 -9.027954e+00
2.680536e+01 -9.027996e+00
2.690538e+01 -9.028029e+00
2.700540e+01 -9.028053e+00
2.710542e+01 -9.028068e+00
2.720544e+01 -9.028074e+00
2.730546e+01 -9.028071e+00
2.740548e+01 -9.028059e+00
2.750550e+01 -9.028036e+00
2.760552e+01 -9.028004e+00
2.770554e+01 -9.027962e+00
2.780556e+01 -9.027910e+00
2.790558e+01 -9.027847e+00
2.800560e+01 -9.027774e+00
2.810562e+01 -9.027690e+00
2.820564e+01 -9.027595e+00
2.830566e+01 -9.027489e+00
2.840568e+01 -9.027371e+00
2.850570e+01 -9.027242e+00
2.860572e+01 -9.027101e+00
2.870574e+01 -9.026949e+00
2.880576e+01 -9.026785e+00
2.890578e+01 -9.026609e+00
2.900580e+01 -9.026422e+00
2.910582e+01 -9.026224e+00
2.920584e+01 -9.026015e+00
2.930586e+01 -9.025796e+00
2.940588e+01 -9.025566e+00
2.950590e+01 -9.025327e+00
2.960592e+01 -9.025078e+00
2.970594e+01 -9.024821e+00
2.980596e+01 -9.024557e+00
2.990598e+01 -9.024286e+00
3.000600e+01 -9.024009e+00
3.010602e+01 -9.023727e+00
3.020604e+01 -9.023441e+00
3.030606e+01 -9.023153e+00
3.040608e+01 -9.022863e+00
3.050610e+01 -9.022573e+00
3.060612e+01 -9.022284e+00
3.070614e+01 -9.021997e+00
3.080616e+01 -9.021715e+00
3.090618e+01 -9.021437e+00
3.100620e+01 -9.021167e+00
3.110622e+01 -9.020904e+00
3.120624e+01 -9.020651e+00
3.130626e+01 -9.020409e+00
3.140628e+01 -9.020180e+00
3.150630e+01 -9.019965e+00
3.160632e+01 -9.019765e+00
3.170634e+01 -9.019582e+00
3.180636e+01 -9.019416e+00
3.190638e+01 -9.019270e+00
3.200640e+01 -9.019144e+00
3.210642e+01 -9.019039e+00
3.220644e+01 -9.018955e+00
3.230646e+01 -9.018895e+00
3.240648e+01 -9.018858e+00
3.250650e+01 -9.018844e+00
3.260652e+01 -9.018855e+00
3.270654e+01 -9.018889e+00
3.280656e+01 -9.018949e+00
3.290658e+01 -9.019032e+00
3.300660e+01 -9.019139e+00
3.310662e+01 -9.019270e+00
3.320664e+01 -9.019424e+00
3.330666e+01 -9.019601e+00
3.340668e+01 -9.019799e+00
3.350670e+01 -9.020017e+00
3.360672e+01 -9.020256e+00
3.370674e+01 -9.020512e+00
3.380676e+01 -9.020786e+00
3.390678e+01 -9.021076e+00
3.400680e+01 -9.021380e+00
3.410682e+01 -9.021696e+00
3.420684e+01 -9.022023e+00
3.430686e+01 -9.022360e+00
3.440688e+01 -9.022703e+00
3.450690e+01 -9.023052e+00
3.460692e+01 -9.023404e+00
3.470694e+01 -9.023757e+00
3.480696e+01 -9.024109e+00
3.490698e+01 -9.024459e+00
3.500700e+01 -9.024803e+00
3.510702e+01 -9.025141e+00
3.520704e+01 -9.025470e+00
3.530706e+01 -9.025788e+00
3.540708e+01 -9.026093e+00
3.550710e+01 -9.026384e+00
3.560712e+01 -9.026659e+00
3.570714e+01 -9.026915e+00
3.580716e+01 -9.027153e+00
3.590718e+01 -9.027369e+00
3.600720e+01 -9.027564e+00
3.610722e+01 -9.027735e+00
3.620724e+01 -9.027882e+00
3.630726e+01 -9.028004e+00
3.640728e+01 -9.028100e+00
3.650730e+01 -9.028170e+00
3.660732e+01 -9.028212e+00
3.670734e+01 -9.028227e+00
3.680736e+01 -9.028214e+00
3.690738e+01 -9.028173e+00
3.700740e+01 -9.028105e+00
3.710742e+01 -9.028010e+00
3.720744e+01 -9.027887e+00
3.730746e+01 -9.027739e+00
3.740748e+01 -9.027564e+00
3.750750e+01 -9.027366e+00
3.760752e+01 -9.027143e+00
3.770754e+01 -9.026898e+00
3.780756e+01 -9.026632e+00
3.790758e+01 -9.026346e+00
3.800760e+01 -9.026043e+00
3.810762e+01 -9.025722e+00
3.820764e+01 -9.025387e+00
3.830766e+01 -9.025039e+00
3.840768e+01 -9.024680e+00
3.850770e+01 -9.024311e+00
3.860772e+01 -9.023936e+00
3.870774e+01 -9.023555e+00
3.880776e+01 -9.023170e+00
3.890778e+01 -9.022785e+00
3.900780e+01 -9.022400e+00
3.910782e+01 -9.022018e+00
3.920784e+01 -9.021641e+00
3.930786e+01 -9.021270e+00
3.940788e+01 -9.020907e+00
3.950790e+01 -9.020555e+00
3.960792e+01 -9.020215e+00
3.970794e+01 -9.019888e+00
3.980796e+01 -9.019577e+00
3.990798e+01 -9.019283e+00
4.000800e+01 -9.019006e+00
4.010802e+01 -9.018750e+00
4.020804e+01 -9.018514e+00
4.030806e+01 -9.018300e+00
4.040808e+01 -9.018109e+00
4.050810e+01 -9.017942e+00
4.060812e+01 -9.017799e+00
4.070814e+01 -9.017682e+00
4.080816e+01 -9.017590e+00
4.090818e+01 -9.017524e+00
4.100820e+01 -9.017485e+00
4.110822e+01 -9.017472e+00
4.120824e+01 -9.017486e+00
4.130826e+01 -9.017526e+00
4.140828e+01 -9.017593e+00
4.150830e+01 -9.017685e+00
4.160832e+01 -9.017803e+00
4.170834e+01 -9.017946e+00
4.180836e+01 -9.018113e+00
4.190838e+01 -9.018303e+00
4.200840e+01 -9.018516e+00
4.210842e+01 -9.018750e+00
4.220844e+01 -9.019005e+00
4.230846e+01 -9.019280e+00
4.240848e+01 -9.019572e+00
4.250850e+01 -9.019881e+00
4.260852e+01 -9.020205e+00
4.270854e+01 -9.020543e+00
4.280856e+01 -9.020893e+00
4.290858e+01 -9.021254e+00
4.300860e+01 -9.021623e+00
4.310862e+01 -9.022000e+00
4.320864e+01 -9.022382e+00
4.330866e+01 -9.022767e+00
4.340868e+01 -9.023154e+00
4.350870e+01 -9.023541e+00
4.360872e+01 -9.023926e+00
4.370874e+01 -9.024307e+00
4.380876e+01 -9.024683e+00
4.390878e+01 -9.025052e+00
4.400880e+01 -9.025412e+00
4.410882e+01 -9.025761e+00
4.420884e+01 -9.026098e+00
4.430886e+01 -9.026421e+00
4.440888e+01 -9.026730e+00
4.450890e+01 -9.027021e+00
4.460892e+01 -9.027296e+00
4.470894e+01 -9.027551e+00
4.480896e+01 -9.027786e+00
4.490898e+01 -9.028000e+00
4.500900e+01 -9.028191e+00
4.510902e+01 -9.028360e+00
4.520904e+01 -9.028505e+00
4.530906e+01 -9.028626e+00
4.540908e+01 -9.028722e+00
4.550910e+01 -9.028792e+00
4.560912e+01 -9.028836e+00
4.570914e+01 -9.028855e+00
4.580916e+01 -9.028847e+00
4.590918e+01 -9.028813e+00
4.600920e+01 -9.028753e+00
4.610922e+01 -9.028668e+00
4.620924e+01 -9.028557e+00
